T,FC,x1,x2,x3,x4,x5,x6,x7
1,2,5.6292356740686245,4.576724251489995,5.463184962159263,5.095224585098478,4.376161975625845,6.547161875250202,5.064160179620039
2,3,5.539402961830068,2.404134397130408,2.621953829889632,3.1173102658238587,6.674852595954071,6.276192894702868,6.423721040257289
3,6,4.60977901278086,3.9236902520417765,2.4569515467714726,4.5318979621314845,6.182827132166755,8.466033183998743,7.030002221164494
4,7,5.413970044318985,7.713913769181914,5.255863821743539,3.2494189983026054,2.868947771161097,3.451750922109133,5.23000263495196
5,6,6.1997258101987835,6.811913604467296,5.3522570625346555,4.501497479857802,5.310392846678204,6.0571238578558555,5.111410906088098
6,17,7.739820829143853,4.829032179048525,7.033001999692955,5.186500885374266,7.515836831469211,5.461955174902187,4.272671113007176
7,16,4.69553790618282,8.920314959940535,9.027494543079838,6.831752118809424,2.1056320762804708,4.139490626886529,7.719576113383519
8,11,6.814885751360255,7.678087315929648,6.749752317814336,3.5025506644707303,8.085777093050064,4.7488572718476725,6.333855076730841
9,7,5.315527705501209,8.932754678413275,3.001324600364865,5.886623515756673,6.1997239622159155,2.778333026417837,7.164604905952005
10,7,6.240509223917842,3.2205789383945658,7.833914600651908,5.616148770059448,5.064454763277615,3.649380738790448,7.332912046642026
11,5,7.113520157785738,2.8229445474830084,4.783577351943265,5.529440246975731,5.945937512639577,3.3423011984180833,5.451321245090754
12,8,5.533268041278587,5.065677841248731,7.074001588060751,7.879098022835754,3.394326858813648,4.63018796602478,4.219615208237904
13,8,2.9450368732561936,4.449195913812867,4.8187093055272,2.8291868009460805,3.256567381264756,6.731613296620728,7.410245720999797
14,5,7.636289316614036,3.401568793005481,5.268393593201188,7.067324930667823,3.9736205417984727,7.0024711571767675,6.1170256032098065
15,3,4.009890011238642,4.4009448776947675,7.539190573334631,4.451518338754598,8.673176595827927,2.5378061167342145,4.8389001283562205
16,2,5.192177218994272,3.216617111459648,5.302687044164835,7.283614972563953,5.89490801094807,6.616580957553411,6.424108203293296
17,2,8.220619155576044,7.014135470991798,2.3760508706804524,7.699174938441946,4.077998551990536,5.028263154677875,5.241440002446693
18,1,5.911116539366969,4.0880200215931115,7.173861327173734,6.24059776379273,5.044906601671372,3.9696585696880105,3.642037522223787
19,2,7.125706755069363,5.847204658267929,7.606042509235312,2.6485895497337584,8.807326824644166,6.988859066115265,4.156340098877321
20,0,5.805317690679538,5.056969554614827,3.660652910108634,7.1836684287769135,3.1779365440851386,3.259884196366756,4.027309235702787
