T,FC,x1,x2,x3,x4,x5,x6,x7
1,7,2.292792450408426,7.64378510990464,7.66018910925772,2.142103609401107,6.993202919293006,3.1980754951786428,3.4944563540172995
2,8,9.654617130368218,7.337787904180549,6.604765464471422,6.391403450881419,5.00021734132134,5.306549794939151,5.196185310036261
3,4,6.764977674359129,5.421142603766763,8.863708581106795,7.615544707666398,2.8090699650729656,5.217004318145331,6.09588500737207
4,8,4.413295925113465,5.700779160696513,7.295093271274947,6.251950898946315,9.26860089466091,9.197773368883881,3.4006359571873963
5,4,5.0198694681374665,5.069708554788078,2.1287365569798427,3.6829551906748916,9.998815284191707,4.602547130363395,2.472516452851752
6,4,2.3692012882541396,6.1627381649738275,4.082361469956602,5.822114916842952,7.358939190249783,2.1353476143258305,7.349687084585739
7,5,5.005306519277432,6.336086745246212,7.240259693391957,9.091237681627252,5.804730488608348,4.360948499617883,5.076068890530877
8,2,3.3894129100590518,6.490208529912458,6.062901282013419,6.729772914994407,6.463686300874909,4.013898836567613,4.680052122796719
9,1,7.257009959474881,6.344194206209363,5.753441079331287,5.998090591211967,3.1926898685601084,3.38948564860637,2.9406396717875047
10,4,8.218721292174836,4.8694801461911785,5.654789283020791,5.766116075932423,2.064160761614483,4.410995669230015,8.050826992525524
11,2,3.3894757199834764,4.597128092528868,7.115514210102303,3.1702042911055126,2.1149053810493674,8.483034754268294,7.194798085026499
12,1,9.611274750964277,7.082696327621752,7.218451429869725,7.311466158301108,6.723632489192237,2.843849377081425,3.521434808439171
13,0,4.851558625007429,7.253621944856736,3.294042299917498,7.9171772666444795,4.281341006465442,3.2669687164230243,9.35611489286057
14,0,6.047976691534511,3.514479531834212,6.679494407779885,7.203354826395522,8.453216491127058,3.025540188861878,4.3145579571819095
15,1,5.349464161589701,8.262865719481947,3.06795978408715,4.1320149592654065,8.253687179085567,6.097907354027273,8.579572138288205
16,2,10.693145412203997,4.61573718432993,5.497155389978793,2.442682359668124,5.328350018004735,2.6785162228733195,4.509362292476384
17,1,7.324892512291878,4.59786243452718,5.062899289448399,5.413658411924259,6.8784716962808,3.5150051014480317,9.75653592324606
18,0,7.962532040252381,6.053478355800257,5.1293315016910865,6.673839911612739,3.3285388702552403,6.09049176609859,3.9007224757885632
19,0,2.758584662008507,7.2985882510686695,7.883612447844385,8.326430752684988,4.757382015584549,3.0961736510790545,2.2788413874150595
20,2,6.065842563965635,2.487776572856271,3.5449550607001203,5.729734184220297,7.4968259385630525,3.0446903829365466,5.834584334006028
