T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,7,4.747430790054875,6.598653698046164,5.287417622613314,5.73187993814968,3.062371001164762,6.135337840145345,7.455435197251772,4.149800594218425
2,3,5.257232757784143,5.880394630491239,7.708145383052784,7.520325100799522,6.752580107444595,5.084071463948869,4.943401451991805,5.090124937967517
3,7,7.65294693318203,6.498412423268179,3.377241843704238,5.219950977038904,3.2366224681054394,2.429525519925631,6.086265140330023,6.291646758911361
4,3,3.478723074984808,4.273790031059753,7.705112005700445,7.1434289477824855,5.623384306486195,9.158219564038372,5.459708908644715,5.921449073194395
5,3,3.7929574756666096,7.083981195230195,5.581669099310791,9.038380956240747,3.5102272718465635,8.533503646115902,7.27368440065436,2.053678201214707
6,4,7.072672695469713,7.917626570714511,7.38206678602797,5.591663747663468,5.011472985506737,4.530424143160536,7.060001880775437,4.81533871072064
7,2,6.153535312939824,3.6430344799243186,4.066578343474659,3.0379144558003714,6.102856845462307,5.979049831206302,7.045593036304785,7.050387163671716
8,2,2.712149805423913,5.704277172747368,11.484347036668899,7.190611100832643,7.741100096915705,9.501675433530313,5.352266857199595,2.0947429720275546
9,0,7.030321057416857,3.3735079852662224,7.904061273319827,3.983721024398048,2.376005026277257,4.766720951219126,2.355316681906935,5.032459524745666
10,2,6.476454626769166,7.420635593684799,4.489647715865926,4.161682817861179,8.704242293105557,7.198488492093416,4.066074261512085,3.1068768380505505
11,3,5.656014047255566,7.31461428759277,4.558819304047067,4.695804596431514,5.684350275027647,6.272557595803912,3.6427029045447012,6.496987808690392
12,4,10.843185939675688,6.6582118223389015,5.60565856826182,2.123562078049945,3.4410756235328277,6.146519278819026,7.00011201206274,9.07136609257309
13,0,4.322873663091417,4.8045011204534225,4.871883586508099,2.6084416816867995,2.2617599310247947,3.0024579359810546,4.87055765729903,4.775069405317821
14,3,6.780445650558464,5.3566140606931425,6.8620856141767606,4.384180481669667,3.1389146913151973,7.4475941030031585,6.808650343097348,11.6317535584704
15,3,6.452647608419245,2.943893640329153,7.14885821710288,10.40285962516377,7.32256713299715,4.272734242011841,4.147364936227437,4.019825782479383
16,1,5.700242589910617,6.704848284894363,6.133612055246727,8.33120343564472,6.585486356606968,5.213583613179421,9.034900485793539,4.45095804065898
17,2,6.4933008758940876,6.733380237803804,7.208802529080083,6.546889888594717,8.508904161775813,7.73139084138196,6.539011578101944,4.9310935294843405
18,1,6.752425664733412,4.9318918941349645,3.323566714886447,3.0162758794953275,4.411399022072815,2.563293935987933,5.251785147096695,4.2473066519947915
19,1,3.0494065807675232,7.356061335137051,2.1771093670640216,5.5170476079738435,2.6890471548603534,3.6816617129667204,7.2823049237667705,6.1467367602273555
20,0,5.134793224436017,6.024828995690095,6.018924597741536,4.044277901068929,7.097544414143891,6.648810587098167,4.125826935432592,2.315583986583398
