T,FC,x1,x2
1,1,3.371516326106801,3.953440396980514
2,1,6.1983609380118185,5.997677197985967
3,3,7.862571204831035,3.2253682566352104
4,0,8.127740151447334,3.1032528607478413
5,2,6.354112250999212,6.996838056083819
6,1,2.277038013350329,7.1045882593768415
7,0,4.417457673472961,6.311330189840325
8,1,5.410918856933265,7.093571094895046
9,1,5.663020956445965,6.382307244258731
10,4,5.035383887539074,9.021160359209361
11,1,5.656916881173112,8.438789214566807
12,2,6.429844116120178,4.482365374409387
13,4,6.278577195933492,3.0892650539037176
14,1,7.391595832900126,7.558096308639064
15,0,6.13676078136832,4.9985792438158425
16,2,3.590456524272698,7.758919763098646
17,0,7.172188569082094,7.420414392268173
18,0,8.165447767759616,8.37343554775253
19,0,4.63902468697313,2.082530323497382
20,2,6.134240252816975,4.263440060574535
