T,FC,x1,x2,x3,x4,x5,x6,x7
1,8,7.997009191021016,6.998539684502015,6.745064072739672,6.301098783092743,2.4215938534816055,4.129442881408331,4.342939514722472
2,0,5.12232541413385,6.17420735783849,2.1588509360328314,7.039707544511391,6.027405235208672,3.0623925737221525,4.658674185371259
3,1,5.9323387346307905,7.118763744178846,4.8818055959035265,6.886762788626981,4.42003154078496,6.684338208497606,6.443724194237124
4,5,7.910635659621266,7.772415374381077,3.817664402513043,6.252716113405542,8.388534968534504,7.598220998571361,3.67272506661406
5,6,2.5178977948329306,8.225353054947739,5.76668743597038,6.221437406382421,5.312947618587382,6.974458308333373,11.705049654486093
6,2,6.260654982768772,2.5392747304261682,5.030029069528521,7.815344069287389,6.4498520471079255,4.820040620030811,7.424344997074991
7,5,7.103037787260982,3.642748693333088,5.796559460168583,7.889453957684481,5.343128484113141,2.0777707057093244,7.554190365446258
8,2,8.075761523584244,2.701103426283935,5.1993815790402245,3.7319718297822257,7.231534279433607,4.0228412206759945,2.1579561293701546
9,3,7.170311085898526,8.072845327741305,5.26908420163659,7.2262549331601145,2.061110595934899,6.282860567697965,4.775986696420791
10,3,2.6021861397248394,3.5353342831075163,2.1073557860152374,5.363737698331417,5.083946137105317,8.650417950009151,3.0535570130154244
11,3,2.122971923259162,4.740655492365741,5.408530968712508,3.581569882985055,3.7679638821039942,2.0747444669923567,6.469028880250345
12,1,7.530390990866185,6.3175606025215005,5.009582794425853,7.982059666688496,2.79124167036609,7.068177993129835,4.159721610343616
13,2,5.706942940819193,4.118848817471176,3.628391127897577,7.776707247563915,3.7073783274326324,3.1272474900737572,6.100429350128087
14,7,3.073747965534939,7.461763140156805,7.10294020173424,6.415110219712257,6.457213234821968,6.229219356316319,6.036341615962595
15,2,7.61144345138368,2.8359514009675477,6.143701189618891,2.213653241095524,5.405264892980149,4.322442310662062,7.8356139138923
16,2,7.592371804632721,7.756404588456892,2.647468415604433,4.8628652768939915,4.696310719923737,4.2640299110063875,7.1976765710079205
17,2,4.428074350963572,7.275505805718921,8.069083398333508,4.651451821884696,4.582015544704799,2.3338575453959267,7.620616449854873
18,2,3.7816223190302893,5.502238240746663,7.187453940975386,3.6550582351081826,7.807761228251067,5.1329876471699185,3.714635652743281
19,1,3.892159750034702,6.110390830150336,6.054989736758355,7.292581617849199,7.072234144269674,7.824192413800798,5.740144474349703
20,1,2.3176105030315544,4.707826574543596,4.649727852681184,3.7806939848524994,9.067781301236082,7.334901661593563,3.8120197770215456
