T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,3,7.401872951625152,7.023326265959695,6.690381064884906,3.315725654611846,5.863726564296454,6.37991347286008,2.2215499943172645,2.1003035409023556,5.500870264721035
2,4,3.2299621100774614,8.731110729664014,2.3040406629691086,4.471948732096255,4.52443485926648,7.904577388624359,4.38668346983644,2.2426160357124925,7.350408258005232
3,10,8.878810564939888,6.6489844740956485,5.4018134951832035,7.054661672878198,10.207227521680867,4.535411791444782,3.094433872725796,4.55772232267331,3.9242673317136942
4,4,3.0454229383461113,6.608032569045439,7.775202365162045,7.191865835871863,6.128590031669415,6.167800409192586,5.38363948895574,3.0582550812813056,4.175495397024014
5,5,4.267446724932215,4.600874293927883,5.037902017733488,2.305182235659235,3.1829824380423983,5.026298473214736,2.2488752288089664,4.412261801478146,5.130384315162407
6,2,6.172882649011122,4.016488950534315,8.014387105035102,7.361529573384801,5.181262097449471,3.987489575948805,8.496502749544833,7.647420420019474,4.743061555037009
7,6,6.814650805080042,7.184267103964746,7.472167099400936,3.417097385655272,5.334640267825406,3.014338958986219,4.219619278859664,5.392052324673951,5.401644396598399
8,7,7.86519789881445,7.57750034140456,2.510132516987496,7.508282037722431,6.080477351994546,6.8033600147168345,6.690901906434393,8.430582597169689,2.978124495085614
9,4,4.4073455191321065,2.3274974475712895,7.5145343909211615,7.891751396284532,7.012801018016148,6.432216784904082,6.570868254038666,2.5557483097823175,3.0130630719264246
10,5,5.38122339159794,4.576270112376725,6.8054836555064835,5.162220406173536,4.0080192025582315,8.516176057883158,6.798992754891703,3.8204191865184622,2.5935211166729517
11,2,4.657161513039854,4.233494000476696,5.660632211405642,6.052269364200604,4.532005881428257,7.087922288912465,7.539004104927508,5.50222435776271,6.1530682751349755
12,4,4.0539747247608044,3.184506374713151,3.3058633485872875,8.252335429559428,2.017128448784046,2.7442137192182408,3.586587913160438,2.0623005768082914,7.880016098700279
13,4,5.142390430134909,6.3866500551405405,7.589501838457102,8.746232336489678,5.373745796192515,3.070868057245094,7.812572177394999,5.1085448675220375,2.0856199437874134
14,1,8.537105760275463,2.85432290172556,4.421728658374476,5.676621723639249,8.914826684310468,2.4638234589926196,6.100559230525972,4.014895773033622,5.602194059505558
15,2,5.022569726285851,6.207151857758711,4.58629877736407,5.673697862114727,7.601385437295509,2.963570383837551,6.274558871451154,5.263499637151436,3.0226315450659222
16,3,4.205856196166818,5.895501741021453,3.090897289672985,7.597991819706059,8.345756633711483,6.473669527724127,3.0830667430612144,4.721764526523704,7.9914513889770085
17,3,5.343233427461358,5.5106329971033565,9.086766017355608,6.194649321131207,4.130703032675218,9.244799252377067,7.613858865632671,2.9851234984583463,7.789138156495261
18,1,2.9386900169965564,4.329445032644418,6.545386055714689,3.2832474312491167,2.609434038238515,6.296448935382884,6.721359620250718,7.248526606898212,7.154788749684611
19,1,9.728346192980444,12.23726594322219,3.6863025659111415,3.6331522644089507,4.0782620785132035,4.2663313423053175,5.016607007463071,5.607323339880689,2.444005301355514
20,0,3.245236379230409,2.411583236199691,7.635207236350649,5.139361612265753,6.841684234652004,5.4254175167106355,4.515168103915324,5.678276253185588,5.677899522171414
