T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,1,4.114882693951883,2.169277482522772,4.370944484156862,2.3518605533235966,3.3610803040154087,4.658848950144521,7.424439883465237,3.004137666737614,3.8334974618234376,4.702694317744563
2,138,6.088887799998835,6.701614746530616,5.598098581092318,7.925640305714454,4.197624004533722,4.420436808549245,4.193780134535187,8.780017823925805,7.092243868797187,8.18965106575509
3,1,6.34861590037177,4.127778737938348,8.398584256705522,7.88409850301941,5.903345772232911,7.499761548959375,7.3710754069315225,6.567959656373406,3.304429158939942,8.861947863984716
4,0,2.9952742052253987,5.9273967410418615,8.060387777947245,2.52211079425217,4.831926239026277,3.6294065583226844,2.1594885636946346,5.2585414994501045,4.17527324084525,7.021918568180951
5,0,7.714881061486782,4.900122706121809,10.271132741854409,7.473838845666328,7.043082489801584,5.835985046068083,4.151967397530358,4.3594879048076285,7.058303140133452,3.889457711539505
6,0,7.66276002962023,8.65735451970884,6.427480836160348,6.2496491071359435,4.332320396604745,7.056446210976788,2.1545169184447492,2.3326976211130517,4.624986979514078,4.360582024933249
7,0,4.291687717637175,4.0604005120032225,5.539157255618771,6.476063649667076,2.6369917475810993,2.3413687877367044,4.4337868536497105,3.552445524706845,7.035137870710495,6.021404441068386
8,0,8.60860492063303,4.142921122627479,7.492580561977665,4.490788320573933,6.341094181987755,4.305774498723346,3.433071997858032,4.180301969169794,4.617488008945131,5.258515621160623
9,0,2.8657469374682227,4.492592236566864,7.695566372582291,3.676435633288863,7.569581494959452,6.372823117608122,8.348711096956016,7.130975859697638,2.275137883362817,6.031399970584627
10,0,5.962696760258352,2.4419391690769077,3.0450298341268773,9.306189412043537,7.482542933264931,8.927242937725552,6.028184107032011,3.786593102624347,2.092012877727199,3.9123578196002446
11,0,3.6091631686765533,6.601289803660495,3.5932597591837885,5.841969681148569,8.595151925534672,6.681807256766418,6.57516693538869,8.05143165779431,3.1513948501142743,3.026971275631757
12,0,6.286478512836577,9.625769847396786,7.018208422120886,4.382107695469398,4.357703329767899,5.274015969954055,3.3484073833028196,6.054505487517,7.350538120640226,4.69432926062928
13,0,4.778786885222885,7.88122750950321,7.42078450346233,6.997734428689286,5.199921843958449,7.929770823946905,7.954455431511248,3.3984000704494552,6.38170389775604,7.068732549691188
14,0,7.352944650446032,2.789978728729854,4.150936745418907,6.4167179312216955,7.021387009160619,9.051445226503192,6.32555923846618,6.74392717162762,3.113425516646547,6.776008875675045
15,0,5.286603791010398,7.249961813273023,4.446891394795756,7.767006124166469,3.12950186343989,4.643471309114384,9.092156438461659,3.438724240597043,3.359910846275414,5.659722762279638
16,0,4.739140680658742,2.683179769498376,7.377504738855826,6.007706824249666,3.04392261804612,7.0345823392037845,3.2275472091602184,4.18436336419103,8.558205594613963,3.9418957500912084
17,0,2.3704743469341727,5.824309907642883,4.815267852221083,2.4249773900798144,5.2864469814809745,3.816527819163912,3.683874785479659,5.220359740059422,3.0648133544796874,3.4600462669289054
18,0,8.133782880475193,3.1776844988051156,8.716491166056032,3.782691074423571,4.1936069392578625,6.094460212150675,3.924048433821539,9.185397500487921,6.023705001206293,3.331772896663262
19,0,7.258751580630287,5.175167222794843,7.041019141170761,6.00711676229496,6.361417795806475,6.685538259185257,2.1603997849936065,4.654664537459835,4.004618714621408,4.459901928776517
20,0,3.331770559192945,3.5671705725134077,6.031483949447664,2.603832296583569,5.164208494608356,2.1313063007954103,5.123928986656644,4.8638265212992335,4.897339385916334,4.360860545313417
