T,FC,x1
1,0,6.549257495805995
2,74,2.4542064792408103
3,53,6.72090258984036
4,11,3.4859225917538743
5,2,7.58907352223331
6,0,4.038275418301811
7,0,3.091946814826528
8,0,6.995805480194777
9,0,2.5025558967927877
10,0,4.0138058143602535
11,0,3.0227014693837773
12,0,4.88350764815122
13,0,7.430571759965425
14,0,6.747597312874704
15,0,4.504248204888272
16,0,6.408180339633672
17,0,4.400438052526194
18,0,4.001166531194171
19,0,4.126159597869231
20,0,3.382911077522072
