T,FC,x1,x2,x3,x4
1,0,7.101366599984876,3.7078869037932827,2.213212471914853,3.1372060820461143
2,78,5.059381621540497,2.9115937832198875,4.310819852694174,3.050654825854174
3,32,3.4327549913775925,4.695594994099919,4.288698366906534,3.269136567833301
4,5,4.36837299225701,5.221972842973043,8.492874075784806,3.690617640306321
5,0,3.1034889665208265,7.579849864293407,7.72316104927028,2.6555690621795383
6,0,7.214297980952245,2.771441031551585,6.418051320902956,4.098721626862968
7,0,4.75659268094682,5.191111822631606,4.87960270861818,7.048908099518436
8,0,4.56385772585608,4.324092510106657,10.468511643640245,5.123440773204239
9,0,7.272004204773093,7.068066376723725,4.06628009262725,5.044366076393063
10,0,5.315760408555707,6.3407435959307294,7.441785719866609,7.063645828114364
11,0,7.596765317610874,4.0819802208927705,5.100422814558073,2.2283572736366626
12,0,2.3142259010795962,4.1604636023204,5.208635744626562,5.191746917782185
13,0,4.005453737373043,4.011927321402206,3.7229953634958104,6.243052154784394
14,0,10.419783901426543,7.74484373049201,2.6706860629786844,3.4349587830253165
15,0,3.792282870057932,5.284269653538917,9.407323523778002,3.570183045090125
16,0,8.05337797480207,6.094489764717126,8.11254957157757,6.618519354125153
17,0,5.6206696376717105,8.414398419594791,2.0721372251208656,7.227331989637181
18,0,7.1449377553180415,3.061937173874627,6.990293380161091,7.103924711265916
19,0,3.9224365991022188,2.6517321592530827,8.182929246270437,2.3971082693254617
20,0,6.590220916481946,9.523616408173709,4.8804163612069065,2.6251038128114343
