T,FC,x1
1,2,7.016083517908922
2,3,4.567878640113382
3,1,7.0258486193562595
4,4,3.1910305178038914
5,0,2.6854409173374902
6,3,4.077320400519288
7,3,7.52199177153045
8,4,6.584231285142436
9,3,6.519093398254868
10,2,2.1401418904336253
11,5,6.0389660178704
12,3,3.08366958166659
13,2,7.064445844462261
14,3,7.935083979920805
15,6,3.1920759821240403
16,4,2.437827320541096
17,1,6.159478951637661
18,5,7.385046896153028
19,2,2.5206393186641645
20,3,2.127985354143833
