T,FC,x1,x2
1,1,6.236856899097628,4.181313069333691
2,1,5.5007231353559,3.6580325930819466
3,4,2.9332476931991582,7.98824170306769
4,3,7.137958340332089,7.27055075331891
5,4,4.422958850958361,2.0980878106687433
6,6,6.411124333258051,6.061324927245254
7,2,7.26615360880731,3.075085885840955
8,5,7.2385525875549375,4.404140562837021
9,5,6.14957275312451,4.4781922590863035
10,5,5.341903168324263,8.391525976180574
11,0,2.186980900557059,4.400980212991578
12,2,6.374765831093411,3.1334213855629622
13,3,3.629897285820005,2.22620694554814
14,1,3.2702642950666387,7.4856660613774375
15,0,8.686695482594832,8.169515852412372
16,5,2.34424811324113,4.404413480292524
17,2,7.812035934437939,6.229476324493396
18,0,6.240685213915075,2.2444082399347964
19,3,6.1732337838156,7.152101746653776
20,1,5.088297222704161,2.860341558827979
