T,FC,x1,x2,x3,x4
1,0,2.2939300392342155,5.007336188468773,4.450347548972865,6.518316048494363
2,3,2.5159905351921803,6.425587981127952,4.921394135270073,4.95504115738683
3,9,5.068560441377573,5.029702881677378,4.506685922633607,6.064312006026818
4,3,6.459359706996207,6.4594441993790666,3.849252541358596,2.6521658375269768
5,3,5.303938775138814,5.304955725202655,2.0464217789171504,7.007727110648201
6,2,5.579025982441864,3.6561972707202477,2.0976298166991363,4.219166450036534
7,4,4.151500494490056,5.946724266122482,4.551102611649796,5.230268363673547
8,6,7.3562223215575315,6.030339100426416,4.686004422441816,3.4635116909568278
9,3,6.48441631317982,6.046705025794679,2.7444596431210204,5.768431730959425
10,2,4.442769743182648,7.11787202600815,7.958321950472501,6.155567824840264
11,3,4.002012534367494,5.863632944900942,6.624408296523699,4.4832600727724365
12,5,4.764012590758759,3.105330263240826,5.373279945697478,2.0773201004157054
13,1,6.702945752371815,7.848883507788517,7.907215895351744,7.053477318428293
14,3,2.5571605368795525,2.144529553721486,3.1243452015000823,5.265964874871
15,7,3.1518826737080956,5.312662956669426,4.397447858759062,8.814594134569553
16,0,2.9961558686689473,4.828731190684465,5.160340734490751,8.300177252529945
17,8,5.500532089331465,3.079101765416238,7.115541802173505,7.152926535388704
18,4,5.241556957089,2.075767514335453,6.49772451273259,6.188331209587886
19,3,3.3480169580521535,3.1268475546529384,7.216733620665831,6.78809130966473
20,1,4.5580041675632295,8.733354903070568,5.3706922654353395,4.020082414830979
