T,FC,x1,x2,x3,x4,x5,x6
1,3,4.546181854581375,7.507361407940568,7.850594342693141,5.5748485321515355,6.3562139473712875,5.96198315778006
2,2,3.834631838244269,6.05381769611629,9.910571162508191,6.311968498114545,6.730934384770212,5.403063397777517
3,4,3.3522568591070243,5.46442156416705,4.333976325964068,6.364419729276504,5.001669351110796,2.793966072910911
4,3,3.6060505870004977,4.809490003620435,7.6767320702009645,6.121524251423116,5.09659271691552,2.9049733886770177
5,5,8.178962840380258,6.01525890342876,3.562201980530268,6.110854148822854,7.599294660976556,7.28382081725932
6,5,5.133545296028128,6.909374721730052,2.768151045270801,2.449073818353891,4.328738329196698,3.829454576070144
7,7,8.48398350336089,5.616966804013505,6.629017625111341,5.42877769859805,3.427664352784897,5.076784881081802
8,4,3.521136380020419,5.028902709942398,5.130713105577587,8.205454735696284,7.101783495033515,3.3935374135790943
9,6,3.124638769435234,4.039064027415323,6.310429863568661,5.014452998358992,7.7579230683231195,2.2391487979009064
10,4,11.03802526725853,6.391729827377358,5.9478648782280805,3.3726499333599493,7.460593695270435,6.501777869548505
11,2,5.253800215322599,5.36800279402233,8.11359854447717,5.574066527030277,7.839620973145854,6.712476777979017
12,3,8.350633930314071,7.290702901586595,7.217644243807696,4.761595406586634,3.169654124370599,3.830266106321555
13,4,3.5684104318344296,6.15536350334154,4.036266127476008,3.1234836799924666,7.168930551225867,7.365731897698531
14,2,7.241955037158085,6.925032566428872,6.825506589527243,8.422841537909354,8.273204877651077,6.484667875346358
15,4,5.383956244804672,6.303172237100439,9.360087143053438,4.4835413416304615,6.755738971514856,3.5237847974821315
16,3,3.1247649858838007,8.06255276685203,6.432649248669303,6.391123055179824,3.5390293292731525,6.5298685874363205
17,3,7.162668314671002,4.478323927641419,6.743828394901269,3.062003051855177,5.093701713028743,7.385861214962796
18,5,8.341976066128849,6.196342672685505,6.211994966244928,4.6648668152048565,3.933569471287008,4.075733859716833
19,2,6.366760576575591,2.2691039278966536,7.332351018219987,9.00846065836351,3.220528753107091,7.351903006181646
20,1,6.727933297672614,7.796961838821654,2.62147439802184,5.046483653949488,4.2025616853832855,6.313804756507611
