T,FC,x1,x2,x3
1,0,4.0899088183356005,2.0010131697826696,4.77364028168386
2,2,5.164585263541659,9.015864194671,3.4430906519905147
3,1,3.622017698873107,2.577906815694797,4.215566801903924
4,5,3.5029021306348818,5.2224613633641335,5.068682227049134
5,2,3.998911839072848,4.021529403694685,4.18052176734656
6,8,5.423606105686612,5.806970278956026,7.383817412747089
7,2,8.411927620473223,7.049045600057382,8.330091046374383
8,4,5.229473341976049,4.305129190035052,7.486357338585335
9,4,5.143154805299674,7.188712775038889,6.004437831185486
10,8,5.662206954278965,7.20378967670805,8.309221876629621
11,2,3.030775897266472,3.4919819334293924,6.563467461241565
12,4,2.9084301855630064,6.204175385183879,3.679123553721456
13,1,6.010019084049675,6.661439997022178,9.142432304860069
14,8,7.682645340457526,6.390276332625982,6.490532854017335
15,6,7.094048627647535,5.847301092527994,5.021899166473619
16,2,6.586082734053033,7.603927394385857,7.265833647864644
17,6,5.449207235130675,2.0171492852040855,4.965142422787334
18,4,5.775063286469765,8.780438337027318,7.286047300840531
19,1,5.36255334030796,5.447431127912974,2.2763852131810105
20,1,4.002531086536839,2.298045705764625,5.040861914627125
