T,FC,x1,x2,x3,x4,x5
1,2,4.0041768894272955,7.603200746421623,9.612916103945148,4.170690291309553,2.6566015193414985
2,1,7.9955574701356795,2.73688835936667,7.154593377161355,5.172829558974158,4.25182330756095
3,3,6.869040320630958,3.2849176102153446,6.7929488902786535,4.761420954211449,8.035776265436331
4,6,4.505341699212895,8.421537293991038,8.760872611932538,4.055973190313772,4.093673268945083
5,7,3.8416336487405713,7.206060499380574,5.634291568701302,7.902831770566282,5.433883194418008
6,4,4.471668750682904,5.750922780848984,4.350633553435118,9.139184184676674,6.181467232081107
7,4,9.35344173917862,6.30290741370159,9.00555538392319,4.063421178849957,4.310496255049753
8,2,5.182243952682965,5.112942933025853,6.678666076904669,4.458116956536139,6.15397916834031
9,4,6.1359641383706895,7.476940879591394,5.8652175036586955,6.866398491004087,7.6117650777028425
10,9,4.5105364937224195,4.586545062920775,2.6606386296311926,7.547331665253644,6.416980897660579
11,0,7.745292295396862,4.541824281927365,4.336017431513272,3.3710433668325703,6.575294933558115
12,5,8.335302713400583,5.039338565094295,4.048751182725868,4.80525114373557,8.314812011955915
13,4,10.475359974406189,2.523141918725552,4.1113615859614665,10.926148198658591,5.043827057591667
14,1,7.0501529882125675,7.507878393812001,6.319150660553878,7.385183920338967,9.8852322089464
15,2,6.071999162795963,3.6503941154965327,5.38581202722,4.165284735195584,3.060785796804758
16,5,5.483218442581718,2.6658348055737746,3.276777093742432,7.3338209898032956,7.548267000139479
17,4,8.351956484533444,5.7487363310837445,6.826921286561406,9.151084448414576,3.9700880298722963
18,2,3.2348093615688462,3.1477722249227815,6.336723246428215,6.382216197371761,3.615142184190786
19,1,4.957833409630354,5.561950827980044,9.522887269076513,5.469367231466407,6.0207408057792
20,0,9.35927541110526,5.008524723641331,8.749363780760696,7.4178770444350635,4.134709164310391
