T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,2,2.510774201885228,7.312509024341663,5.4582120467433635,5.048557056748444,6.313532083054093,8.336392580874776,2.141084220014699,5.80522274193436
2,2,2.447404226230881,5.711561158249584,7.029239284995695,5.095024616720739,2.225986374961791,6.3308059914903385,3.1248876656231603,6.532152137754485
3,3,4.151191821869947,2.52802773249556,7.0513389979093555,5.4630859743356845,6.375036683169678,5.299338013972511,8.121521262367992,6.462865910983385
4,3,3.2216777940345893,8.036531529874553,4.248011088927419,6.348238986343168,5.354173151392438,5.642939226325906,6.430801905518196,7.443617508552157
5,3,8.372329899447323,3.13732429131976,6.022207702934227,5.223787557454904,4.771848383934508,3.635605835408408,2.0709666990998343,7.185678307833211
6,4,8.192730054198766,6.032696795966128,5.220048913590478,3.379563050224399,8.105918311939497,5.302538738817002,3.1756090698950192,2.9671516345478666
7,3,5.512595710793593,8.154171923557758,5.008026497046588,3.111994285676067,6.281685292618405,6.941310746760612,4.038456376819265,3.3588997321286933
8,3,4.218497947969109,5.052275455763086,3.529031028622579,5.732337788493092,8.30874256205817,5.786030516829795,8.04798375525331,3.4192323634874335
9,3,3.1040701141458604,8.952608361977836,3.5440429163435994,4.393757150991727,2.0634299653124284,5.079555407929112,4.036358433569051,3.6625618052642093
10,5,6.888263944154405,2.4670849506649457,10.207704110107862,3.23587458561013,3.3721290985317722,3.067880741754299,4.247217779833218,5.01808678416904
11,3,5.103449268979927,4.272167573510408,6.058409932370486,5.1944466066918435,4.950010091103268,6.802982199727739,3.25766237204912,5.322620280379519
12,2,3.765445875616294,5.4068114485649446,7.450518049778234,6.610460276539435,3.6529366701588755,6.312302233702687,8.194028067388114,7.0858497806198955
13,4,4.158440927881356,8.559627802055578,8.29106020734694,5.4440424903990206,8.017200220847881,4.590929768808942,3.7875673882401264,5.488377207972771
14,5,5.548714652341941,4.1718912878611665,9.580404359453794,2.270944072637326,4.4619199718099045,4.359899613127005,4.972445523864934,2.2170682736692684
15,2,2.2688170959959884,2.3569963711117246,7.843959401207224,7.3808351868715025,3.1706214843628384,7.01207869623072,2.059126360519605,6.032392858980998
16,0,7.194554133322582,7.406823581779674,2.6781026837193678,5.475288816223496,3.8343989193406527,3.457974631275222,2.2049931602086885,5.3118876680860145
17,3,7.1824738869177,5.1843360821890245,7.361090413867077,6.611621616850358,5.843902985926034,6.0353680401071905,8.17315742644038,5.105510789891511
18,2,5.476037993686008,4.159730898206901,7.170289628228406,10.650315454155157,4.618858528460421,5.328480636537996,4.5094057176877165,6.44187242633417
19,1,5.161124744239427,4.157042938054297,4.223929799399034,5.253484742129436,6.16806549008165,4.236807626462399,7.571806555657364,5.159934995552758
20,1,8.34837977930513,3.5661807119390634,2.0081504699898334,2.48687024188165,3.8591905659109544,3.8396107258922845,6.0747951839491146,5.623886669870874
