T,FC,x1
1,0,3.2654209088942645
2,3,7.3314032812157235
3,5,7.381203776991555
4,2,4.234637807884179
5,3,3.6673342271083604
6,7,2.177448264976483
7,5,6.8657087853194625
8,6,9.13497084815917
9,5,4.1628696854749
10,5,3.5670888218699583
11,4,7.771221093413576
12,9,7.353092601535627
13,6,4.852604042352303
14,10,8.615249091817507
15,5,5.384531950555866
16,7,8.117889630785582
17,4,6.768624260731524
18,3,8.636697084953907
19,3,4.321754755426786
20,1,5.230826241196362
