T,FC,x1,x2
1,1,8.762967569880683,4.295880494960675
2,2,2.7879619684475143,7.254691380362939
3,2,3.389446261916154,3.1239172453465596
4,3,6.343463532084094,7.347400309254305
5,4,5.523764771341417,4.828349696006404
6,3,7.009787751200411,4.032273545649391
7,5,7.044206796637676,7.883634185906172
8,6,5.366726890315985,2.0323907036136477
9,7,5.511857288667601,3.9234610933158263
10,2,8.614440078941334,2.2188354971436923
11,10,5.811051156562169,5.013933635120964
12,8,8.40768490662334,5.562328741152775
13,5,7.166075272775522,4.810815316577977
14,5,4.048592294082867,8.382317059796987
15,7,6.310960685311595,7.8275104763068555
16,3,7.6769193856776745,7.3224983730066615
17,4,2.3404564202963254,6.972048594092829
18,3,7.170980759710076,4.142265977448008
19,2,7.426117097858839,4.993268699273538
20,3,10.27033220176422,5.973493456407884
