T,FC,x1,x2,x3
1,0,5.35871888762603,3.7999112385357887,5.187119871779937
2,2,5.269622984875359,6.560170214539471,3.3057529443491616
3,0,4.237854447639807,4.011548561202387,5.691873626353608
4,0,3.573971656741847,2.71334972696536,6.460846915160736
5,1,8.000109245113162,7.107629741547319,6.1854833986669
6,1,4.025722178787263,6.008429422815392,2.277808093112599
7,2,6.043129703425522,8.785208073556305,5.801711497601254
8,3,9.316545045809988,7.76941261945609,7.346989602691659
9,1,5.679086740742089,6.481318344597435,7.004204876060822
10,1,5.796789768107969,3.216566789217596,5.8632824622034265
11,0,3.5112642621367947,6.094461784739374,7.366162380455291
12,0,8.562506740944698,7.060982029442783,2.102845900003166
13,0,7.136824104525528,4.259587443363049,2.0741979807519706
14,3,2.5909740086583,5.324530148933201,9.285055510987057
15,2,5.145386131359787,7.56009274504359,6.114534270942368
16,1,5.4072272434417386,5.262724078661373,2.675308833957467
17,2,9.964548489288948,8.489836186790198,9.746786544979399
18,3,4.734661408947117,3.289846489226932,4.309118033220519
19,2,6.605811765767447,7.606172677481622,4.60610832108862
20,1,5.462663888997004,6.506887408449285,5.428359516493478
