T,FC,x1,x2,x3,x4
1,1,6.278640955774373,2.040818370452791,2.046558510076138,2.7740007456718185
2,1,2.242883394494547,2.302832038001616,6.002434101012502,3.3782668108310467
3,0,7.18489661091782,2.1120852318768097,3.5501603035165212,8.192613999544129
4,2,6.6299184846352155,5.433470394437114,8.775128888015294,5.200042436919359
5,2,2.0205515308022313,5.240247442992371,7.3598043053249915,9.246591714745279
6,2,7.546471683779073,6.123982389072245,5.913465890502549,6.677916571256933
7,0,2.012649384956217,2.8164714770407167,4.037933211665253,6.109161669240298
8,3,6.627672451026767,4.3971884555875125,5.169342200066091,8.186037134705114
9,1,4.010170429513444,6.3183992415789785,7.346264355152572,5.165672781644764
10,1,6.348879259964387,8.25713526378047,8.08145162994802,3.2871264115099965
11,1,7.924143515407504,4.346515218265523,6.45737846790621,5.62042354957464
12,2,7.729293184946184,4.134708104917707,4.938650934689982,7.532420556235251
13,1,3.9128519037849507,6.889731534932937,3.44675365553792,5.442797803775078
14,2,6.559710552672085,6.941658774024666,7.0821639453961005,3.6181525980797025
15,1,7.83704444265,5.254655618891302,9.976885962437986,3.4070576400963213
16,2,5.482989406629799,3.0990457089655807,5.8701929166919244,3.354155636814315
17,0,3.450307407264116,8.063062058758012,2.9056116957146987,5.160411722782396
18,0,3.1243216932265905,2.1690409288138586,3.9474426529616427,6.401344242276643
19,1,3.945780128487903,6.063917160300902,2.0543234279699285,3.203670589480643
20,1,3.217556973479313,7.662161609096752,3.114408195624695,8.049514549095901
