T,FC,x1
1,6,6.209893038563358
2,6,7.000988748145056
3,8,5.436156293966049
4,5,8.11379208631467
5,7,4.532983932146917
6,2,5.169480156010953
7,5,4.808639861114742
8,2,3.477681922416361
9,4,10.015133618933202
10,1,5.473716269759206
11,4,7.489320710075946
12,3,4.6073235225854745
13,3,5.917952838284586
14,2,4.030171552223852
15,1,7.57466210007489
16,2,5.63425279775059
17,1,6.295611618071724
18,2,7.809547874522924
19,0,4.666583103829143
20,4,9.238002239823194
