T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,2,4.043672944420201,6.019799929216204,3.6080639442715454,4.535863174219899,7.888030201904605,3.7828380742590846,2.694653665003644,3.640457594156008,2.404613758678921
2,6,8.17280518352963,7.157521806645201,3.3966513429388696,2.0220778783152147,3.0619587756749294,5.972651759065301,3.4510093179515926,4.758595310247532,5.990326716110156
3,13,9.332168048313363,7.342954160587996,8.925089329688072,4.43324498988967,4.401341283610331,7.601785644454702,4.824924920118793,7.222126538394935,4.080750988383195
4,11,6.703427312003113,4.442053356504857,6.136205205958406,8.540258776408795,7.384404460860679,6.069261888736817,6.117601595247349,3.0464699137364923,4.536230253671996
5,5,9.381047100712628,7.670281866340642,7.0250091212759935,4.759740582679991,7.7121073829732,3.9401795200755454,6.530320349510357,2.618920626705232,4.649241893239599
6,1,7.102426292888561,2.3828408028466264,7.064055237357395,5.344069234431614,4.180179010758772,2.8094018299605894,3.7629787865834596,4.449902702908032,5.798633919668009
7,5,4.589199954104723,9.108508249553147,5.493272524900619,6.766089072753817,2.0528561827571536,2.108645947945527,3.060357410296674,10.465872445587252,3.046730680724908
8,11,6.019208677518668,7.735590191886194,5.134306773443823,3.8398681939876944,2.8847032987485246,3.06885560692654,6.848548484281446,4.322555077863734,2.951739459587687
9,9,6.545343151556606,4.100802212667612,6.517871312773474,4.310802427741715,7.199253502506569,10.14854443541551,3.8641004271204795,2.318159422091954,5.002943005537747
10,6,2.2164057482552693,4.683585498466655,8.496077767608574,4.0884289585112,3.1104593767830044,7.615297373547357,13.171228989705703,3.4669421187647687,7.545742870858314
11,5,9.256088322839222,8.407626742145162,6.7390503561212425,7.682992470663122,5.699852947769885,2.4981011593915854,6.061453295754488,7.933455255863408,8.183205451508623
12,5,5.943004626792477,9.401631046292037,4.002880295734846,7.328507349098588,5.834731792290751,8.388584337536468,5.287114524600276,4.480257109427658,6.5389567178302626
13,2,6.754189257521184,4.97405214858385,6.2096408035966055,3.0223818381959977,6.337568299958446,13.330987732981692,4.10696664300287,3.7982287754822384,3.949564684677929
14,2,2.0885149271974837,7.575620751529587,7.168702386654861,4.67507590141385,7.056058621614433,3.1841321208718045,4.024487872596271,6.741888923421515,2.664509146900883
15,6,5.815508549683322,6.667912811430939,2.2275324506318412,4.102728803680578,7.352593287720263,6.351926838010959,5.069322369811032,6.2555792169736355,7.660565220619514
16,5,6.040460598722324,6.2942533520093225,3.0573512450465783,8.525549404255885,6.0125729789224795,6.549251716517003,7.2593257517448615,5.268744689038771,4.537932742440761
17,4,7.923689969378388,8.635747219750431,7.871358414901144,7.114236571002767,6.354872691991309,4.795339946205829,4.311833433518043,7.500490956141209,4.563068168252418
18,1,4.036767354928601,4.424177875513808,4.2009364071031605,2.6712767799855426,4.885784988250042,4.3401232856107494,6.593727381875192,6.732757430498085,3.0544256190835393
19,1,7.016881726860163,6.616350288869606,7.206127102627966,5.50845469214238,5.269846613186544,4.275899894570129,6.778072708092933,2.315799485712569,7.179213426359225
20,1,7.308749459594322,8.30151104687006,8.675610201823734,8.282470481174713,5.153397532336206,8.935847917611824,6.293070782892345,4.4564884125017885,3.393424848778105
