T,FC,x1,x2,x3,x4,x5,x6,x7
1,0,3.1087743332384017,7.771194813575802,5.901001563966678,6.469102596650731,4.643131474039465,4.255136807325222,5.461506178786751
2,1,3.1517180758396472,6.149507129071066,6.080791205836281,6.5067218555091495,4.563478009334012,4.801806268262542,4.432212325348365
3,2,7.507595792844817,7.118994527572423,8.407454913030692,5.473947671188609,5.93347985734167,4.2092343364348315,3.3486668048383175
4,1,7.002209043868055,7.033221934966042,6.19165784592716,4.141054717231666,5.950903556809048,3.595469331570132,8.265217691445127
5,4,5.5487437714622505,2.6887355085216376,6.012328718185519,7.600943122510081,5.340718004859048,9.811482382390544,3.341770243710301
6,4,5.433364179303892,5.056802505548539,2.857817091192416,7.32652208106369,6.952201415317816,7.005448340969565,7.31650544590103
7,0,5.648614447788098,6.4432488967615695,2.758844152196398,7.046312720256555,2.2356008137017818,6.070343710767838,3.889628615407303
8,2,4.487883186886006,6.21879962655412,2.4062610711419543,3.473550511494192,4.213472230533103,3.3915778723057968,4.57666969940184
9,3,6.848985505780804,5.143885044291989,2.306545616557132,5.022419188782592,6.955362103145902,4.760798575233659,5.619117805664417
10,7,6.167853534982571,8.216133380135659,8.690289464979413,6.217015707744193,3.019129042338498,5.275075570979874,4.389551216613653
11,1,3.396573608145711,2.264309939239646,4.720600282946504,6.927587108910338,3.4016864966267106,2.010806459683249,5.396039123063582
12,5,4.91183330694744,7.082001853321443,7.0505062444856605,3.6971768666496834,4.2762570381626865,9.176158114510105,4.552189632650991
13,2,2.0792352009283253,2.1710865012759673,6.554411434486353,7.808567505713135,6.296582021223978,6.150637922712465,7.425142571266022
14,6,5.590484646127677,7.334536992238468,2.8713075722203794,3.4400193240641475,7.254920357810529,4.685028684702714,2.2250967642480486
15,7,6.5139045671924,7.120094303078073,4.797712728352611,2.670758198398574,7.263687048823495,2.400208205286309,6.094790313129144
16,2,3.4311762278503646,7.768642613459161,4.91978134615684,5.748242274606513,7.239627799165335,3.307133104942384,5.980029826844133
17,1,9.502894276285058,2.6304548114761097,6.219167068108647,5.797972840065103,6.335584332942735,8.567265529964928,3.2409329009272687
18,1,3.5131144402356735,5.107034645175616,7.415199061748316,2.022630592751091,5.197916291910121,5.160679921120423,3.202985713307105
19,2,7.982553482423534,3.1802231122045326,8.030664095288563,2.467376628277032,7.509013659004192,3.3298931534000045,5.073699020460816
20,2,4.24726813756294,2.4849167731234054,3.373233367122395,6.640082457106055,3.246108980292017,2.52818889147461,4.123418636027647
