T,FC,x1,x2
1,2,5.15605907304068,9.742155045501471
2,4,2.157846909361025,3.4709559722562378
3,3,7.160530945939159,4.034332894730559
4,3,4.860075601170011,2.081857896375988
5,2,2.197329543655195,8.401938727170215
6,3,2.0153888875930943,4.041252811595549
7,4,5.964888050330909,6.613327526951443
8,3,4.652686274394796,6.415307605623577
9,1,8.011946395536215,4.017980664329622
10,2,5.098752726135472,7.298452395607485
11,2,7.169946524679004,5.595709842651016
12,3,4.762554295503012,8.089342052720173
13,2,5.27043877149244,3.669621470494656
14,1,2.7714126626312634,8.640848061315282
15,2,2.8932033768476813,6.9203744181163
16,2,5.197553485203465,2.6024850665926746
17,1,3.158818836411186,5.659027805341607
18,2,7.292756658633363,7.160935724699532
19,0,4.4162807405108415,6.004220094058364
20,0,2.470909728781676,3.8088548536686586
