T,FC,x1,x2,x3,x4
1,0,7.312062522917167,3.456303101755819,7.04783579208835,7.446686125369334
2,1,4.881748669832016,3.5212920729613018,4.952304808339788,7.197215885300082
3,0,5.681524515324696,7.969819336655834,3.282811831949275,6.775768886093399
4,1,8.326705218123717,9.533502823142006,8.786744253635053,3.4244790202525492
5,3,6.207071208816506,7.100420201405624,6.2938429075263524,2.7081412799959734
6,1,7.821217542762753,3.3146694119031554,2.2153316588357295,6.483462017946142
7,2,4.559469774322967,6.259757576529509,7.384558356977152,6.436594461119943
8,3,5.298375101092999,4.54946008593369,7.0357593511447725,6.182565595270716
9,2,5.937489573133984,6.639206431212825,4.807546673202516,5.5188454443795285
10,3,3.9583474273451644,5.498269082336349,7.114735351011754,2.2567815748322144
11,0,3.11777954956081,6.663445748444347,7.961828768229045,4.470712743078405
12,2,2.917216473036621,4.479540749129651,5.121150322787466,8.105340800970858
13,0,5.294368613270842,7.584597502482824,4.371182505630147,8.367597197694053
14,2,3.596916141733962,5.006864335663275,6.985796317788273,3.5660946238896667
15,1,5.254794862427368,6.393740967144127,4.1152572577555935,5.025279601891772
16,3,6.808456583974951,7.320819764101095,6.182121141529643,5.088285400146165
17,1,7.070537390355223,8.547530383544267,4.011001672402127,2.972870324851617
18,3,2.041327694466576,6.485907252336329,3.150418209355534,4.04174919236043
19,0,9.255766955013172,4.341340076765253,2.9234436902701044,6.613265135776725
20,4,7.839043089056763,8.16760928550486,8.819578507464056,4.628392214782485
