T,FC,x1,x2,x3
1,5,5.056859274234233,3.1129175139243985,4.008825722092236
2,1,9.210850533959917,3.1396888449366895,6.371442133513538
3,2,6.039002858045842,2.0136917775443317,4.961092349491083
4,4,4.017251843699812,3.019301276023429,8.989670098611791
5,3,2.7254625724202173,5.83323503052358,5.603253090741372
6,2,8.62476434639762,5.578975030762383,6.37071584314797
7,4,5.03052258262353,2.087633371063987,7.6228222658718074
8,1,7.078434980445502,6.068714603221958,3.1843145591416886
9,5,2.001627731081403,7.693770627493736,2.8250742456673392
10,5,5.060567231869223,7.154494065256267,5.548928138669333
11,2,4.4323144168630835,7.166336111666304,3.2569605348289015
12,4,7.733934911815597,4.6696957429659305,7.301477341843009
13,5,7.15183835554818,7.37269008585303,7.877985004245915
14,1,5.086690522447368,8.543442605418559,2.288835110905521
15,2,6.213222879336275,5.346720989142101,3.0854795625587483
16,0,2.7161062160666214,6.373223787818582,6.197922081648107
17,3,6.124275826832416,3.4721968260836498,6.071703549578834
18,1,3.317874354697448,5.23370106089909,4.47301030133192
19,1,4.013884221535913,8.52912880212522,4.937557281503365
20,1,8.028572986809186,5.027744440078024,5.45144561724884
