T,FC,x1
1,1,3.7059094221840203
2,4,7.3855447629746065
3,2,6.004439506959951
4,3,4.511485951959217
5,1,4.172036895457459
6,1,2.235612156077342
7,0,6.110344793949922
8,3,7.575093675009384
9,2,4.349808422805196
10,3,3.489365029490995
11,3,5.190936065120388
12,0,4.114689896689047
13,1,7.88253092065726
14,1,5.134789863846771
15,2,7.483559572996464
16,2,2.3027950495043834
17,1,5.8103739050983005
18,2,4.252188471183378
19,2,6.2993294594038645
20,2,6.61614619799934
