T,FC,x1,x2,x3
1,0,2.3048639638668433,2.812802854687969,3.599581887527492
2,97,6.8111448766874565,5.8802201226369,7.848777900870763
3,26,8.272061744644349,5.396203161558117,4.012678320600764
4,5,5.171758189885968,6.1177339869182745,5.824292762482457
5,1,5.235907358949268,10.644971533267906,5.2620984161194215
6,0,7.979073103848762,5.394082512605053,2.8611355894249173
7,0,6.842792456840973,7.248890651413917,2.2361742494268135
8,0,2.2337710746088715,7.541915589027264,8.001520521915767
9,0,3.8169782046806002,5.247052194903823,5.218928751573781
10,0,4.102652736888454,4.5022058960475935,3.0155260064735603
11,0,9.27156461373388,4.231424506808854,6.513271661629493
12,0,6.501880493051682,4.418475742731932,2.1768035573119238
13,0,7.225676946190549,5.146621544764261,7.506313919911031
14,0,6.921852377829115,3.226951400204528,6.040284884133987
15,0,5.100573057231893,7.497995639302889,7.197935632088253
16,0,8.54163734010262,9.382258571989503,7.644936392564872
17,0,3.0371654689788756,2.3511808770651346,2.5476594282151965
18,0,6.045236681825827,2.026888506073717,6.022227620928938
19,0,4.862071327048032,8.01175061526195,7.317859883574365
20,0,8.224844725958258,5.5967885090428355,6.235106225462712
