T,FC,x1,x2,x3,x4,x5
1,1,4.215508456897514,6.497038787479453,7.856057469077285,6.337650239912881,9.61020439674343
2,102,7.247981505144964,5.129851174861839,6.002212459153596,5.560119128640574,7.276875745334748
3,11,6.187213993561381,3.6883904071419282,10.954529297565323,6.596700024689162,7.055416428227352
4,0,8.751628091013435,6.95740814418551,6.983428074135415,6.2076527730779185,6.015617054727728
5,0,3.614156039554379,5.497919440523561,3.030954858373315,8.160904514776291,3.6951505831777736
6,0,7.135591131965985,5.2453741290842055,7.3405775613714,8.223634933884696,8.925297138274235
7,0,7.837825950506721,6.19368494869965,5.157428022033745,4.812338269045342,2.352637338673253
8,0,6.985133700488727,8.699456705408448,3.133355451130188,2.2277299003547717,7.023840702536141
9,0,6.244990865093638,4.631868812493558,6.182396642675941,6.84828675365211,7.272971475398772
10,0,2.062775151678885,8.39511550952289,7.655864166346161,7.353429469255565,5.045831472516867
11,0,6.966516951399939,3.3338610067834598,7.035216196985355,8.376685285933172,3.4487142374232724
12,0,5.234613295532663,4.871973113553962,9.153715810370215,7.306068526596077,6.246300058312228
13,0,7.263377663631601,7.773091754255837,6.164979483606876,6.235406404290596,7.156743186395992
14,0,7.447863327499632,7.925232874302706,2.871224313854536,7.251127697242051,6.0539754805761445
15,0,9.01105991489848,4.208365478033581,9.246480831238081,7.623726011018469,7.952066376581004
16,0,8.136134314391086,3.4869864464234275,3.552030982933676,4.25029411689709,5.473685553051544
17,0,6.952786668730582,7.275943453091189,2.2616798672797285,2.5401133458297687,6.480119700705644
18,0,2.223196695531452,8.601108437654286,4.40006521276565,6.032885093307056,8.031445213272795
19,0,5.501797379600828,6.000039658343714,3.0223321943813612,3.4850998378830385,3.1137623792829725
20,0,6.2835362693693595,6.590258668013101,7.657558384498943,5.502333198176263,4.552000914869975
