T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,4,4.495436003967566,6.262898004050276,7.244045908523436,4.730018400186821,5.633828168812013,5.466768881403214,6.165179206579177,6.681917198960072
2,122,6.011198154617372,7.6148440241073345,4.693223174193333,6.071001465352841,5.109989516342716,8.1483468663079,4.146051809145041,8.848575170195122
3,5,7.139549419405782,4.023917890334197,6.527512030007926,7.255462655511621,2.0345755464805886,5.303840511868543,7.037090538572336,4.470125626691544
4,0,4.196739203563052,4.76516465629396,5.821035046810339,3.047565210190156,5.780256921227451,7.537756396542179,2.450471832690455,7.258227384405258
5,0,4.29504024946899,3.048616826331639,2.390677020314303,7.531193722820855,2.605176808921993,4.068278472612678,4.067895248935901,5.5380082883022785
6,0,4.4406662790301485,5.966610087287102,6.979154432063451,2.0036238400632413,4.120071748680569,2.1522293833250603,5.22292757581581,7.105043753849613
7,0,3.0537358754362796,2.2216575712804008,5.19049376341367,3.347472728669886,2.0850170207279293,4.086137111821819,7.694141828648683,7.509874860265816
8,0,3.9162106902579614,7.058225983134797,2.2473528050313725,4.212759678788692,7.5417119945907025,3.5605939532688806,2.082634439542468,2.8435821413006055
9,0,5.284018040391475,5.100486304198314,8.15960131675529,5.443281519362218,6.085153230795554,4.263218065468001,6.683425009586491,6.958580876816281
10,0,6.069561867252073,6.263803136702922,4.982499308003262,2.813372983405335,2.1928402424100155,8.233283753689882,7.300088496156067,5.523356421491245
11,0,6.631601637062423,4.258296571423362,6.578913696926522,2.963132297264944,12.885546294509853,6.180927921042056,3.232647730482176,6.104093837079241
12,0,5.406168011964567,5.564970941485145,7.430183104380744,3.0983211721570045,7.7798889335049255,6.360713330114413,2.748745572428391,4.871845235249391
13,0,7.4337053277400535,6.317009269538131,2.0185485208877787,5.426359550930566,5.519195665846165,5.265200912668188,8.004147837553585,9.60312091474077
14,0,2.0344448322402044,3.2646758426017737,3.1434730377228908,7.13797012474501,2.0071197772080507,7.585044599868666,4.284913887015233,4.883274828162219
15,0,2.374076865444791,8.947156734737332,3.8559980875816837,3.230129134806452,4.262701112104013,7.2710078190348835,5.494493014980259,5.7570720160810085
16,0,9.050085525992898,6.398674084936717,5.539426519575496,5.431912581947877,3.006109143252248,6.2204310323449,6.493236212919438,5.3228440156137635
17,0,5.111596410404183,5.6801096067314205,9.13742458296397,4.169480612812803,7.772823536567758,4.9271954674516465,7.783146481905035,6.187237654266832
18,0,5.277591330243232,3.348516960787383,3.4553968716682877,6.187779829953505,5.434319014431869,2.5543192612361882,5.325441244537457,5.207343371554792
19,0,2.1390492168546933,3.2633316707158784,6.418379403058744,3.7561638710035528,6.434634711254248,4.632759739652974,4.934912363635612,2.132996268254824
20,0,2.2038259230324315,7.448488868753731,7.9508674809780935,2.6544126939561217,4.1675254398320165,5.060199612572936,7.72098970196104,7.615398347944394
