T,FC,x1,x2
1,0,2.9536316805557474,8.8696435552221
2,2,5.9872146310383485,7.072419762185656
3,3,8.71808532807114,5.13301542655836
4,1,4.25381284805175,8.957202913353532
5,2,4.61189197015287,9.101548734883249
6,0,3.112851248565009,7.48844650628252
7,3,4.143280130311595,3.9428553728233497
8,5,4.262980711604518,7.230387823608391
9,3,7.664419865935865,7.4259516197252236
10,5,6.126268553318814,2.8866774394866757
11,3,9.219072398740852,2.7681561595913564
12,2,5.532292474213815,7.961992791151823
13,5,3.974337810195432,5.700828438548411
14,2,2.157179407512014,7.318073512255588
15,1,3.0528484073789044,4.714468118176914
16,2,5.0756321122527535,4.205990415491222
17,5,4.186751307703666,7.128924077408801
18,4,7.057713082429328,6.334300599584987
19,3,2.0919982318302175,6.1259330477539296
20,0,6.452517921610237,7.3107804004363475
