T,FC,x1,x2,x3,x4,x5,x6
1,0,8.325028776895357,6.1684923739359165,4.758032879570099,2.415320964886266,3.7945097271054276,4.775036762650498
2,0,6.239028311691544,3.6763131667917057,6.67715199056388,3.375922483370668,7.976484210047906,4.911955642798475
3,3,6.356619954063047,2.8568592250023097,8.131687152869315,7.58195578284446,4.168250836331442,6.170968776730332
4,0,5.365182006531546,6.528934342297242,3.4591188005703337,3.6560158129551583,6.756898539242669,5.476641495014394
5,0,8.33450869898767,4.100836427022406,6.352186851742048,3.1811792337964415,2.45277412870296,5.237127655553965
6,3,3.2967637862296293,5.225151183660049,6.65443281772402,6.027337675286243,6.174871206950192,3.321824351471253
7,3,10.071837467679156,11.285563466480156,4.329670039753475,2.497733088866879,2.150890908868229,4.173729950382541
8,3,7.96948300207847,6.858786188221667,6.239029601471093,4.8103601133757525,10.499581859582102,3.263748636606897
9,1,3.3505498809320393,7.3512910255938575,6.38336119400032,6.1623703327865655,6.0690971054995515,3.3178070724974282
10,1,5.1379711973673,5.209672185703331,7.459461927708673,6.281299391849279,8.18339515652178,5.3189640427851135
11,2,4.209260903365036,4.951221338892898,7.239514651813768,5.852700209906441,4.869374036520339,5.58791967438511
12,3,7.31996405943563,3.0317933687334797,3.445231342345032,3.341739565325978,5.044174855950954,2.0122888925644404
13,1,9.176506405953056,4.576243039834314,4.695415304020997,5.4582561626076735,3.400799458976717,6.252925824630228
14,1,5.804858708188622,3.0888744409703035,8.462891859297995,6.216270462600034,3.1537076956603274,7.647056659652015
15,1,5.077301139408995,4.6976003443649335,3.3700950026800025,8.024110801819308,5.471686949360604,3.7011761957109486
16,3,7.814852676126782,2.6461153559905055,7.365015105130443,3.5423083678772054,4.200623133030083,7.47676327936014
17,2,8.03810819643846,7.4039395222172075,2.4538282386368353,3.3500343261158814,7.384410022955714,7.820750089319385
18,2,5.222012508015139,2.1433790605662866,3.1432992428118864,5.100398328211925,7.197204584609115,9.766109239686921
19,1,2.4950999585126254,7.499086490120338,2.2572057588532655,4.146823808504007,5.322394339245285,7.654929747357944
20,1,7.021358927794758,8.019143515749478,8.009844227813383,6.084380164025452,3.475459660448973,8.096732568237815
