T,FC,x1,x2,x3
1,1,6.175031252006716,5.476923191608251,5.5389676283178275
2,0,8.625684156226423,3.6450646055579523,4.858591577363921
3,1,3.6655514944862517,2.089601722970554,5.188504397974086
4,1,7.609679294698624,5.657805381700256,3.145250478169351
5,2,4.324136079012419,4.630416984643472,5.271009658739176
6,2,5.974277142141829,6.385933335971898,8.486191641240842
7,1,5.150360763353584,8.13970461111514,7.766750078722007
8,1,5.635734626645872,7.263859718417293,7.724337885286161
9,2,3.7703505959084342,7.929926926665873,11.583986550840066
10,1,6.341157522732504,7.802903144963115,5.797885861430559
11,1,10.433138313495057,7.636248732521022,7.497260768060985
12,2,4.684599463142279,4.182264095818917,4.211027370094799
13,2,6.2195539851515615,4.543432217414223,5.052518702221107
14,4,2.0373669710160813,3.288088290711879,6.421791872287967
15,0,2.1987259113168625,2.539496006006703,8.10488502894075
16,1,3.3204235206018198,7.606286010005086,6.1276611886745
17,1,8.505425373512072,7.662004087139735,3.755548470582699
18,2,2.045823954528036,4.016931499037448,7.778632175088091
19,2,6.645642846263364,6.654620063422873,7.160096296495064
20,0,3.8553849259188278,9.36775566218357,4.302168126481772
