T,FC,x1,x2,x3,x4,x5
1,6,4.93107153122947,6.1508163379001575,2.7296239817649806,6.047130462852769,6.008641345045796
2,4,5.773570535009987,3.997531432766778,7.006946753688033,8.118262394966923,6.740423167705412
3,5,3.247155203410514,7.345894866353453,2.524724400907686,2.274704903594521,5.1732752664533805
4,11,7.096784991562482,6.768101987157614,6.618148140523368,10.79495519073067,5.620963854183083
5,7,3.484036902394382,4.262624098846166,3.362360121827633,6.377467684323948,7.355966005906923
6,5,2.8232525677055698,5.067567573241705,5.298196355548196,5.11797643999,7.011437489323166
7,4,5.9898765085888765,4.278239779620519,7.425556454982953,5.634157839281957,7.072250965480514
8,4,3.1715079604151843,3.314837561801754,2.763121769385877,9.459602953736788,7.300900284400662
9,4,3.7933994887678533,4.70517614532843,9.025928934809418,2.2118219142668476,7.432014849868129
10,0,8.70127421585137,2.836043914212949,3.0163822713642956,7.224282857556076,3.0133349812092933
11,5,6.402585470816997,3.0793287099434385,6.037835174536776,3.338496645133143,4.905444364027159
12,5,3.6336628756623814,5.102081261260853,5.546401541889049,4.473958391828909,6.242364650966712
13,3,4.374810824394799,5.270744402396269,5.592562873590469,5.6260789159277955,7.4699242548621445
14,1,5.0372324327269595,2.097101910118097,6.764651782704449,6.48065894140691,5.245447210426254
15,3,8.454485906223029,7.229293964479815,7.768089887830824,4.562055817277033,6.050419393312522
16,4,2.410307028365263,10.001861924977362,8.82194547157673,8.182664204003382,4.201749737538286
17,6,6.405219627654067,8.138947873818058,7.876099888310639,5.461368152804413,5.653542181401088
18,3,4.589851865881219,4.250062017011359,2.1029766916644537,2.5778844705060724,8.084665248429559
19,1,4.298407263461938,6.837396303156625,2.0502731893359263,9.557793515930149,6.491870007563791
20,5,3.0264949251214177,7.4892055856808835,6.371220608745369,4.388339535453943,7.520849166832309
