T,FC,x1,x2,x3,x4,x5,x6,x7
1,13,2.091979420246617,7.084641676323277,6.857667904634761,9.059916404352597,11.097992306739124,5.04145459753104,5.669092080704091
2,4,4.410948482916632,4.113666165046008,4.001763802279811,2.391318314945762,7.465521984248673,5.469803526422525,8.168922963561181
3,9,7.294400688421514,3.313884412766593,7.23635027439429,11.095026209735323,5.075267574247499,3.6703482156686276,6.472804223985281
4,8,5.969096745229283,4.189683044912769,6.500470484278123,7.666707792296056,7.835469843134336,5.658844094444895,11.144696057310192
5,8,9.298829403684017,7.439571833479395,7.346992454447566,6.332875542938312,5.107645282628804,6.93610198390677,7.936806360344726
6,4,7.484416925869333,9.103950236377306,3.5861217885594554,3.5952146600873096,7.579177564562075,7.477156126706701,8.51043676942585
7,5,4.389313907587901,3.678257954633092,3.4152592254729437,3.553542832155515,5.513354071787941,8.78781508235941,3.594839326501858
8,4,7.322635500111501,7.018882261781695,7.07718581181867,3.2327560387797867,5.648400157966906,4.027633523688942,7.552421091836008
9,2,2.080724854521592,2.2108480927225576,5.80302185927053,2.7134030422472417,4.232335955794994,3.3666696136152114,4.4669770438566685
10,4,3.591089333128797,3.368861561651114,7.242904599462298,4.150857685357478,4.582178335077735,5.230269176287436,2.2554228198555184
11,6,5.247604387390567,11.010181184609209,7.437480413880959,7.098713493840263,3.3526239768480273,3.0738752840553265,7.398174773223899
12,0,7.487522067263115,8.524910338645387,5.238664307362359,4.2812452063824775,7.280990915570152,3.1795124369955996,3.4679341594701523
13,0,7.1556451938087555,4.653286328633315,6.7686271184813975,6.294796975559268,6.068661403352547,7.048788357980475,3.7463180975536803
14,4,3.9418579062607684,4.048207504372931,4.039474764407537,7.043577472632489,4.760097784686217,4.708370180413484,5.516903896485751
15,2,4.87331951632861,5.425744398645537,3.658502901950812,10.873187963578095,7.840368683894727,6.727424841972071,4.047531371136877
16,5,6.017525712577635,3.1033252643942726,8.804654008899531,8.796488306584727,3.7410124111818326,8.699382422183385,5.626783626528009
17,0,5.047091184053345,3.7783907787203668,4.253658765387001,10.733736904414434,2.9388589673644567,7.022343054799388,4.27496960115854
18,1,6.219681290822784,7.600580333395875,5.3580180840739,6.391114954918498,3.0790968348971504,7.280561852924604,7.898096018972442
19,0,4.305272670040632,10.91684453002502,4.95637713715906,8.647809413028247,3.06591683878659,6.521564233677392,2.225982394877144
20,0,3.21272632519371,5.170528807278551,4.09720416686468,6.861717375501058,7.927162328657957,4.028846600770118,5.284078961160238
