T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,2,3.298029230118864,8.704072723700234,6.948363625484178,6.964262111833134,7.0098923559539275,2.164826162506215,3.156805316350155,7.265109741213885,5.499011003948372,2.260650442559356
2,1,8.619496219155074,2.0435480918282707,7.406212727120858,4.676459980238401,6.136932379353443,5.2335906050183,5.557887771210973,6.120403902938854,5.322130749331692,7.55162124318405
3,8,8.39078412341186,5.31054150662958,7.129018750804339,3.277018428604836,8.143646620526994,7.117991528964243,5.8629514337616255,2.3073211570955126,2.981617288997484,3.2002571099351655
4,11,2.5836286143732385,2.589392782469213,7.636314924583333,8.566317267105394,3.9228903081177213,9.111398083821854,5.30562106984126,7.025845377732438,3.149683821047859,5.434849331258237
5,7,4.498599522177566,6.3857374737796375,7.147034486883888,5.68002995933414,8.562582554661107,6.401668687140486,4.851147161745174,2.4009268333112734,7.72932283993598,7.670753555894626
6,8,3.226091563939309,7.072696939350677,7.600904627980366,3.701818153524587,5.130949703813528,3.2276495518001775,7.059397916345423,6.690804462562831,8.052111924569115,3.280027894046628
7,8,3.228799254328186,7.06153397900201,5.070407370185673,4.803346796283311,2.1254296859615507,2.7732888378344094,6.039409744005309,4.50136242795511,6.120919422854819,5.130549737430112
8,10,5.424218377301088,5.273225926112703,4.0000418133972895,2.1028813030526643,3.390753746830353,4.5002910697622625,7.690972578689163,7.567203904914338,3.985846282665831,5.489543798192536
9,9,6.822235520197605,5.207678030146685,8.140933230536328,5.860212258947185,4.791923171158178,4.349305866149135,2.8156355118630945,8.230102457055542,3.4380061862973483,3.683785835765428
10,10,5.780499105187834,8.463427773656605,5.269565470044277,4.278684824857947,5.646085807906114,5.917296222238123,4.06620307002746,2.0322783481289886,2.760413556709645,4.332398508058315
11,4,6.7136130744698415,5.9796293467569965,4.856904506527094,5.050438924025169,7.310647927799832,6.039107455421186,2.2278162818410983,6.014856966129339,4.976794203509256,4.814958665016381
12,7,7.646404337842631,5.091001012862224,2.0687250208601493,3.8908409146924248,5.802699853071051,4.877576215188164,7.706596273057756,7.35180558510109,5.92157571878476,4.6269234643468975
13,5,5.118119199190585,5.426375697735219,3.152816052778823,7.24470560580412,2.4780268019763563,5.604042353906436,4.08727510076106,7.17237253969123,2.3182566398120352,9.385314672682696
14,5,5.210735530809016,7.043437546780043,5.757978606907912,3.9171956495026965,3.320843896402719,6.505332583532288,6.0776951894468825,8.299392360274663,7.001735999727843,4.826856021907787
15,0,5.712268652618803,4.537505075756396,2.1125748910724953,4.8206127637171265,3.3171088960596764,3.4862593927346364,5.286558501347794,6.570612119853775,6.0195608762658885,7.049896514133987
16,2,5.198276096891186,4.353680942761093,4.36546124171053,7.374953922845703,5.052997076537884,4.306534610448066,5.646776536059943,2.1611196525101257,7.914458095601001,6.909525179014036
17,2,6.156648535058037,6.068121866687822,2.4917267883275107,6.91319595389967,3.978125450567627,6.118340902591412,3.3390687356134867,5.28545168572027,5.852720766607068,5.019080000079926
18,2,2.1269339155980997,4.996441661873316,6.523333565732125,5.3121704127851155,8.379799333522659,5.476195602559191,3.1564857657933505,5.253201132258247,2.0597001661561785,7.9717764074299104
19,0,6.310402480145318,4.779506918143936,6.059730413336412,5.161889817475161,8.079220083568703,6.050685193636337,5.691254954277381,4.457071900644527,3.2982421657491034,5.590695218166471
20,0,5.68452540855517,8.510774390537124,3.9584991847000977,3.3578680938015855,7.0144601341714,4.178643487330151,4.543950457644498,7.787581481534188,5.386290095753471,7.019396793387341
