T,FC,x1,x2
1,5,2.1446790379482663,9.113231340517203
2,5,5.220754922287192,6.316725387751588
3,1,7.524330711664123,5.324468521467182
4,5,4.725679751648341,8.169818670121547
5,0,4.17642023834257,4.868659106227372
6,2,2.0392194011662363,8.440626813557545
7,0,6.005233340675256,2.606292263712819
8,7,7.7437438215852445,4.029224332337609
9,4,5.790090142708819,7.6436866677193995
10,1,2.068541023218867,6.000815043287652
11,2,5.397191780099562,2.2687525995338516
12,2,6.638452871914116,7.008370071656712
13,6,9.200911533571983,7.3166922708213695
14,1,2.842854348022006,6.607610499751574
15,0,6.167562905012912,3.238894249010287
16,3,3.0890203218194063,5.519890195166814
17,0,7.00538744826565,7.724351288104749
18,2,6.449241620627498,7.407686414347834
19,0,2.8295920113167217,4.283976560834786
20,2,2.622550441991894,4.5042196898451135
