T,FC,x1,x2,x3,x4
1,4,2.368285055360517,7.030404713367899,3.7465308969580793,7.467807726838489
2,6,4.253226588850669,6.69047185198254,8.006602532101468,7.220969156629743
3,1,6.537090224936367,2.601985987611873,4.87339859733227,6.030051929143931
4,4,7.248320843559091,2.735776817044453,7.079554072019432,6.100939260951699
5,6,6.097537098740399,8.092415348109082,9.112774643219517,2.072678400629364
6,4,7.5944356327603,5.426764000283441,6.688422358798608,7.113299537459892
7,4,3.479078468798792,8.919020785847117,3.175890405898383,6.652867050148078
8,3,4.113654389586939,7.087275104268147,6.404139125090117,4.4065117433874965
9,4,6.0383603536036885,4.301609333739563,7.6538932357526805,4.784508377936321
10,4,6.466272592080422,7.637382096868433,7.264128258066675,2.057885820042563
11,4,5.530700331591531,2.357054998651567,4.495971738153071,6.559117424961558
12,2,4.124365267599543,5.382197707748052,8.345661897468158,5.163447989438325
13,2,6.012184783757711,5.511071221862677,6.127662094723527,9.63396926504212
14,3,6.305987099311681,4.487172111331043,2.491689243741685,6.799901519107599
15,3,4.380760646250155,4.064363510122466,3.1294965176983642,6.950021992340754
16,5,7.938710219378958,7.680530361060403,3.2592892519594963,7.661709829092734
17,4,4.056790112047199,6.205049885311737,7.680882415734395,3.289352461044147
18,1,5.433035305514995,4.167841055895333,3.762659554453745,2.0008593530353487
19,3,2.687643350940683,6.5854741243310695,2.51999766287462,8.678536668522261
20,3,6.014078711691004,4.719913253739646,2.182478409492449,7.08325718520753
