T,FC,x1,x2,x3,x4,x5
1,2,6.382107156554255,5.191936995370581,6.522153307525303,8.12411048394654,3.543082546833876
2,3,7.261396893978373,6.193434081867384,4.002427945679334,7.2721288645904965,8.559940488251993
3,6,4.991203956573752,4.740071962123414,5.508209048782719,4.11210159807097,5.127298015267523
4,8,7.001047213006083,8.943974352159577,8.353979954836406,7.746946715663371,3.0519772616126257
5,8,2.299131977250509,6.2440088104367595,4.702630851421761,5.918719558749252,5.476467172047176
6,2,7.071384648493984,5.326684193108932,7.244364515705989,2.0887603406844555,3.879443705392351
7,4,7.593344458378944,7.35557369960721,9.035818401252104,6.25350231030078,5.432148045164726
8,3,6.428722433028047,7.809331109473594,5.018514743029857,2.5900613149306286,3.4496697527725146
9,0,2.0216507502594454,6.157670145635905,3.151640349806704,6.265404382490583,2.500481826459961
10,4,3.108407703657493,8.0841583441612,5.259231612379227,8.44645030175629,3.546458076955484
11,3,7.251176275274177,2.275592806175892,2.3312210520979546,2.9655013585520837,4.4712004845842435
12,1,7.8117688578610975,5.257118329913191,3.314079634041835,4.007572452198021,6.705207051074941
13,3,4.063073510496402,6.897014629367423,2.3805037088439023,4.598558925737854,6.76492464072014
14,3,9.301633116706453,2.0771827333455257,2.2781049738239347,3.5178976557832926,2.6887443050807063
15,3,5.407966907100942,3.9373330479535404,4.434012218527653,6.826516919675697,3.556481035931794
16,1,7.230186679781514,8.136390382264022,4.266591925084304,9.85280019709803,5.160078493520754
17,1,5.174284079152025,3.942799836938657,6.210662018741147,6.385257922434873,6.445661352087628
18,1,2.7369505860674295,9.6133583304719,8.408593277256761,2.187001901196918,7.494009908801809
19,2,5.435666415096768,4.1370188914460915,8.262658838826786,3.3108619269908712,5.715323712934853
20,2,7.183283982978655,4.558468089395477,5.089615613496145,7.527774311731681,6.228875927358398
