T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,10,8.259534026724292,2.5830243843300984,6.589998607495202,7.060825658920635,5.772366324592359,8.07248139553403,6.361572467369158,6.515560171961699,3.223044241325353,4.041150858940434
2,10,4.094521796159256,3.6408975753133626,6.228159166803477,9.978966287816725,3.1446398574597914,7.249812549001345,2.692751521296223,6.437216454779879,5.116409652727397,4.68900372766592
3,8,6.382192432768467,6.468038754984084,5.6254611473452965,6.532611465475441,7.47459076894725,6.1636597818963335,2.6672652511188066,7.223333972588002,2.343838251029835,5.382266345508096
4,7,4.030148490817741,3.2864182617886155,5.116813946187339,5.301479790465843,6.407704877768952,2.4836278118433284,4.652800232731046,6.464050580590792,3.5443562467260827,4.631054893302136
5,6,7.802289153502976,3.452731649455939,5.735474865531754,6.334015179154151,7.0874302700566645,6.489024830737522,4.222237931951099,7.158186024653312,5.095486936117184,7.185210808686729
6,9,5.882272328680743,7.184768091428649,6.005539048942653,4.475144145788496,6.196191867182774,7.0234346687429845,5.562992992374436,6.419146881143171,4.430084949898318,5.429125562120224
7,4,3.26758736475401,4.059923329460398,4.789038976314145,5.299036577716085,3.905191266911708,5.0466182778651465,6.4138801104371534,6.455406331095082,8.47929596130752,6.66579104291441
8,4,5.17385840995413,7.349078258133364,6.129432375182286,2.578767370314502,6.774900277131519,7.952081389043726,5.775432892837589,5.07553665702328,4.35496881614905,7.588159242610966
9,2,2.060804113287004,7.042834622225585,5.12666292091938,7.981757199409891,8.563471890528868,4.324062126969543,7.087719477662109,2.3634394300795214,3.8691064624034963,5.761489675464958
10,2,8.753645138471082,6.619373711299983,6.364624407741077,4.060122652251383,7.4332777624235895,6.532000554849984,4.069507374149905,6.418920311824239,5.669549780531845,7.673320232245812
11,2,6.784869827188853,9.864939624736628,4.702747038532836,4.351689119090045,2.610408838619799,2.027084954200482,4.165930877335224,7.116608194796485,6.063998155700597,4.5076174429411
12,1,6.704248432085131,4.82380908968428,4.594981621707049,8.026017581038154,3.892046548685949,7.135284174023506,7.135449443791337,7.657844491267676,2.1106343549453865,5.377853158496196
13,2,7.0017198746007,4.856106411499878,4.851969782472677,3.6728915568448905,7.217611390533233,9.097712700903884,5.163036201560788,4.617490116416414,3.9065542925531394,4.7013054998502914
14,0,5.669283923987466,8.293099874970883,2.514368990253823,7.078656276744984,3.8558920550419487,4.770335778394901,4.029572476651792,4.818963136318482,5.561006146215896,4.061495304572587
15,0,6.348828309669429,4.332937119289813,3.1278390127954205,3.2164950468641904,5.6942388500508185,3.067412681509248,5.158898374951237,8.35886844865069,6.168942514563526,2.32093171259802
16,1,7.042153239675968,7.112992630400329,2.8453416420449944,6.6723025442446335,5.681771915214208,7.954445665340566,4.6761001459893965,5.370680135533307,3.789675445440796,2.0240911653884965
17,0,7.125714528786259,2.831589799339942,3.4750891454429227,4.356292252934562,4.896200819922477,5.430468859427544,3.6065485312917827,6.760338571015701,2.462318257052603,7.485720916292582
18,0,6.626761215693344,8.010564566986563,8.23769086656086,7.6370554977238125,9.611781702144015,7.129858349162812,4.56098658177525,4.830334936541659,8.520618123329879,4.519784370562707
19,0,3.22386846371903,3.0972089492847745,5.732733811193096,5.666712028346976,8.50845869807771,7.009871805855788,6.456305732439539,4.547276741937118,3.5722896492638343,4.919358179241182
20,0,5.099222021190771,4.409185663164947,8.714564744207678,4.120754807052928,6.485789010658461,4.348205782894698,3.1102572046815524,8.856036427139188,9.747005881934614,6.767985216133227
