T,FC,x1,x2,x3,x4
1,3,2.6253258357403824,7.885144487450258,3.1545674998973645,4.840507312795177
2,3,2.4134792214700758,2.5393946033419272,6.514409338250177,2.0218130835350827
3,4,5.8733676916395625,8.130158000072537,6.87985136681154,7.017606950108506
4,4,6.5691829891542515,6.549322141874153,5.8524876582460195,5.649130618028078
5,2,6.747680361300527,6.637428789624311,3.0751521364971133,4.080897697063753
6,4,3.221553092236001,2.599005142708045,4.141568455338573,5.190680814160974
7,6,6.899498880474343,2.7568493036114003,5.44317560430744,7.742814299332199
8,3,2.3819097688737214,6.030604626745079,5.2646975106015175,4.808298852401796
9,2,7.298842731196933,5.269733945821201,5.002767190350353,4.058842175456461
10,2,2.08899215036004,5.1045967414353965,6.780126009091375,8.06358604355572
11,3,6.0868110527709876,6.503510085891326,2.6708366186009735,2.013229362145874
12,2,5.072311510853192,7.4846921975144465,2.133563552164396,6.550139531643439
13,3,4.69310784245483,5.080644161650855,3.447358067084311,2.1370522176375824
14,2,7.583044700234677,3.8852021816622373,5.8967985633209405,5.400486520114048
15,2,7.003359961819699,5.827712615056162,6.610784773409875,5.050529172588189
16,0,2.9997275575021156,5.324001301801987,7.707738541743066,6.345392733359776
17,4,3.0286986653670325,7.121940755661471,5.543925695193548,7.202245661838524
18,2,7.758701391699946,7.339395982433386,7.533717712084822,5.032295627569988
19,0,3.68640888904469,3.42834350272021,5.911875240568663,3.6059140206384366
20,2,7.700767611291173,6.7625974920405225,4.111669718759341,2.5164493750801373
