T,FC,x1,x2
1,0,3.738316118047142,5.179940055897748
2,69,2.032219747474023,5.947508356610241
3,48,6.349278523305578,4.033897783664426
4,17,6.734904868445031,3.5379445621167758
5,0,3.9672101475043537,2.5549374545494836
6,0,7.5642836833951534,3.1135016221804777
7,0,5.331987694312703,2.09613159859687
8,0,6.134171572609125,4.293757390631081
9,0,2.130036421906737,3.7277807329738932
10,0,5.849192153796256,4.24599629141299
11,0,7.337979763438315,6.357086925957426
12,0,2.134748231100036,4.602542637239014
13,0,5.825488544118906,9.634982039234378
14,0,3.252713040980651,4.141196848156145
15,0,7.832927801629227,4.819138274091764
16,0,8.035966474002265,3.027593789139165
17,0,5.9260202425368,4.133391346268117
18,0,7.70721491859997,4.096004593117814
19,0,6.218637345554673,6.3017349475473985
20,0,6.001878232179441,5.262145998224272
