T,FC,x1,x2,x3,x4,x5,x6,x7
1,3,6.937487943417908,6.672833959035804,2.426851029213775,6.521686606371887,3.4627121628062185,3.0216857889616,7.8393117717621115
2,123,4.0626438336574715,6.290769490865692,6.201419907927327,5.102297230464231,6.7968730043412515,5.200030766478252,8.19555320259026
3,6,7.66923906155105,8.201902391468325,6.278054623128611,3.8872777698141934,5.115048344384832,2.0554600053060104,7.164213184302821
4,0,7.522498009520331,8.331156798559432,6.154264418360988,7.926385220163931,4.72341606939976,4.6151949412139945,2.6150197566218716
5,0,4.686741122644711,4.742128197640731,9.1393714592787,7.123202828557349,6.669762114692538,9.933757090386184,11.444724536912725
6,0,2.8841338691422678,7.060233048400185,6.9368438806116774,5.149435614172434,7.182804550332462,6.29197336683561,3.567680457988823
7,0,7.868281883355575,3.1339995887245062,5.537030971028133,13.555765988268003,5.7312175848483236,8.32326086723856,7.883682386796977
8,0,3.108068901804593,5.104170171369735,5.1198748733277055,3.2051332016962846,5.294080057714625,6.123225019452538,5.47837266400348
9,0,4.067417722905846,10.42460091517647,6.135883810584168,5.0934026307342934,6.7932114923918725,3.342028163974972,3.881812313109265
10,0,4.520426113331245,3.1028598838141717,8.072756098780339,7.62095762295951,5.4802545370886175,6.561245991789136,5.244814637203997
11,0,6.3797649024749585,3.596804174998667,5.200732909037807,3.0397987229441963,2.753542761003886,6.57534807916525,7.620025275771175
12,0,5.1886024768334895,2.0042357626880083,4.322490342840031,8.002574342591503,7.686904661128108,4.225621657567129,6.601544322075661
13,0,4.859399050367324,7.599153669050956,3.5295560695512735,9.071500193815512,6.747527909390334,5.868179256899807,6.08093768018677
14,0,8.73484628330539,3.4527804983908776,5.5125775863122355,4.058384034206664,4.128794245796416,4.285199672834296,6.438408141855419
15,0,6.948890653529441,4.377694336524084,6.6279463865328925,3.1008190900119033,5.2371324023132,6.618550126675654,3.0699861216157744
16,0,3.6106197405031546,7.453041587201259,3.856240338573564,5.55882569889654,8.062094994004926,8.313887722869953,6.283841845802941
17,0,8.20386622418501,6.946270484600193,7.049213319908599,8.434087368585832,2.1924599881589972,4.529291505864419,3.091048628883481
18,0,6.653260330797234,7.5973653671550405,8.196318206895693,5.903840743682842,6.463824005368709,4.0946248955681535,4.1767391269943905
19,0,6.1319908722601575,5.8836586849610475,3.8261181715782726,4.228667994483448,8.790504912410187,4.670329012592409,6.660411091145646
20,0,4.324488253584217,2.258600876429898,6.214437866707392,7.472889111097481,4.856295030064547,3.1083517519762047,3.2685668097719587
