T,FC,x1,x2,x3,x4,x5,x6,x7
1,1,2.2862429431724136,2.0388923677747792,4.746015552735241,5.484676911391124,7.831459532403426,3.0687244382031373,6.394866630044753
2,3,6.199252593841662,3.1974637155986647,7.186305586228363,3.064723088307382,5.151277182919426,4.179335633624737,8.162282716008376
3,8,9.445805146700867,4.0071113249274495,6.398289973289929,7.687904369921544,7.02801961893109,3.4797635915517624,3.9228293488787553
4,9,4.367727178632745,4.2189551345190885,8.719805101493415,4.793398051434112,3.7507326411501873,6.238108787783983,5.714748917035664
5,5,2.1924865124542525,3.033991959938117,7.662123061669473,2.9728044519774404,7.202527051229578,4.088710190963654,2.3666254250517538
6,11,5.0978768877835385,3.868072856235587,6.245804898113484,7.134517295060985,4.145281289798419,2.69870912073595,7.977109509722346
7,7,6.2399596671397095,3.0095594721354,5.131334035110784,6.416990564962148,3.078984705963161,3.836897695579077,4.300551800811794
8,8,3.91481856017039,6.027439241112337,5.154759995272587,7.079601022655347,2.032013359526294,4.416678217933301,6.7426092169401315
9,2,4.97174891639358,2.0986171892511756,2.1728708035400857,4.46802438622205,2.357008618177627,8.716383168477691,2.7102551808484368
10,4,5.405348071480736,7.298664434393598,4.390216642474541,4.161059185135944,5.505815217329791,5.346775943689728,6.22848372347141
11,3,2.2205027297531483,3.0438348262824255,2.7778194869038817,2.1225259177225544,6.259697357687867,2.740524585546547,5.610533564347934
12,2,3.3748632838009294,4.435046617656122,5.092227874312217,3.235643534194333,8.006827048288091,6.9614802656996755,8.005230431135333
13,3,2.701280206105596,7.166747849409692,7.833523206384734,7.268549238940521,8.797217097864849,5.383768258225065,2.8397992783910713
14,0,9.136040134574873,3.683080338460916,4.131892737274995,9.143594475552192,3.484162867372139,4.207953056254794,2.716437244463331
15,2,5.155489392891053,8.029294512862142,5.071630441783466,7.1641912237120335,5.312967150476823,6.380977898653988,7.237134781809857
16,1,4.488175829000291,4.179173142501904,2.110348114196983,5.431755790657295,8.282243808381176,4.006064197948782,4.944287256169107
17,2,5.625121428729064,3.5197151480124367,9.260448957164282,7.493906896052718,7.198502456823181,8.13581216105708,4.349332049986133
18,1,4.233987116137137,7.879861199938502,6.095618492080892,3.5998794763116853,3.641102317557034,5.816989985871432,9.18578598627792
19,0,3.739019091639253,4.198517081330817,6.14605693816181,7.022428814021357,2.0162832187944373,3.3792927870904843,5.042302060394174
20,0,5.49489394552867,5.407782956001654,6.128321649860615,5.187831024594126,5.40182348665442,7.057974708767873,7.4714270109627945
