T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,1,5.724469390439181,4.704198242990364,6.842701911565755,4.1775007188787345,3.0389729878847165,5.376585996433549,7.964831050043512,4.358031288995539
2,2,9.102499570536088,5.246697905456836,6.245810467191367,2.4213175820613078,7.467013302546025,6.637565419759114,7.227663129323881,6.5589061582433015
3,2,5.418112259124623,5.409345560412481,2.074485139890705,3.318800341792966,5.157636159413812,6.80251920186077,7.953244408427795,8.635118993051876
4,0,2.6978188208935148,7.061354530294841,6.565791371671136,8.670971094873275,5.04080932639835,8.000077638660795,7.347700848508125,6.288818383781732
5,3,5.1277903560911415,2.72814441866176,6.237671114442865,2.081662690725946,7.331697716664232,3.537273150132247,7.347890522778884,4.28322106769042
6,3,5.572083697766413,2.0036365677654637,5.687655565035627,8.084016554471326,2.683476272673651,5.330113063593874,4.83954021994249,6.045828461422306
7,4,5.338077402545268,6.358388219395608,6.467070166120984,10.012905720740287,6.50995926994425,7.0599371900387915,2.006864130177124,4.117805834630855
8,2,2.946510025065754,5.544107945767047,6.333431774366926,4.132731285734756,6.01363853402984,7.868849455107481,2.58259606758296,3.048507753561539
9,4,6.0378062805124415,9.048774075566646,3.10126160788984,7.710718351595049,5.634095737464377,2.469132404576537,7.363658998524524,4.336094588685737
10,3,5.092267171383018,7.107987137208215,4.897228278506981,2.2684863633350316,6.742626635301463,5.841489660425784,2.5917700726216695,5.251213795862316
11,5,6.0209290826059405,5.641092654782868,6.014698694136775,6.47211684667804,4.813743618691561,3.3516634955432636,6.063996602273979,6.06648018078747
12,0,11.733528161222452,7.705310619442896,7.140189514439604,2.018958825117449,2.3605962543342827,3.329645201579706,5.830862984214501,3.002273093010242
13,3,3.010045637645318,4.296410540463363,8.459141545472797,2.8085763911886494,5.64932396953146,6.235862261168643,2.256768590238258,5.041812580810061
14,5,7.289234553700731,7.814532769519856,7.751012961447472,7.6368881961394175,4.2495412180713705,4.590439746284111,4.347161577459882,2.10884660726977
15,2,2.001787640459955,4.251277631399125,6.03391420408613,3.1461160377019555,5.6059207058233715,3.9115391098827024,5.29343737355744,4.092537489129926
16,3,7.349399454037421,5.108463777221706,2.9899709467852564,7.383304806641003,5.094947404162404,5.506184192991955,6.8286237169801485,6.244013446192905
17,2,5.1760537898116645,4.2872465823990655,8.140217872119358,8.250287405169349,5.911908258049605,9.76716406256294,3.8274684472979192,4.913848215565168
18,6,5.307169546913237,8.073062463695901,7.28504103737518,10.07653420286982,4.921321434979546,5.084200791625458,7.223701829047107,6.473020255364637
19,2,3.0218164619235015,3.0304775604357226,6.628881365262093,9.032066802906499,3.1544720293146375,4.460885177066811,5.504000953034489,5.887680232866687
20,3,6.020972636757184,7.0511787993331465,5.5286981134321795,3.124583736805271,7.328176437345804,2.308897803281654,8.937063287164518,6.969930429970325
