T,FC,x1,x2,x3,x4,x5,x6
1,3,6.146301942346623,7.634809301794256,3.420531240374656,2.9835589738590516,6.0278937450852785,7.328538284362589
2,12,5.427062945797296,4.029325213356785,6.830045344830984,4.2459781948132695,5.690504812931384,6.360794028745222
3,9,7.889692754895924,4.869544677924018,4.816315898174517,5.13507372098813,3.5821485341854573,2.9750420651236906
4,4,6.120918954781012,4.799760384854389,7.808201305292767,4.242017364827737,4.071872629501508,4.652542569419456
5,4,5.193476722220749,3.054323271587055,3.418052255916774,7.035179991398069,3.5049716412075,2.3200804839419216
6,3,2.659131979794942,5.5151374127831705,8.411648379135283,6.234921460852232,3.5737948504623738,4.611695739483015
7,7,8.200515175428372,5.991160297985927,7.4514590785397985,4.787156024357683,5.649429085461407,5.675467921583193
8,1,2.8751020390698643,6.80692988991051,4.397304441629612,2.011665282428244,6.251880693220576,7.500736104805429
9,3,4.31276222449708,2.0587925299417047,6.93785502538066,7.222564941067059,7.949864291596754,6.967765045823229
10,5,6.965952673566842,6.040567164481039,5.437638444108541,3.3379474671104883,7.061088851774425,5.815914724421595
11,4,3.061978021172095,6.361176670834734,4.538354127900416,5.411652759161311,7.679779909884284,7.02802516952365
12,3,4.34828055525788,7.627136688374909,2.5457088244185515,5.553015502688461,3.9489725750133866,7.129490697379685
13,0,3.3475497557964573,3.1002598839965128,5.010074415793535,4.195702523100957,4.408184341600402,5.706555616862765
14,2,3.078907573073131,9.27152287803025,3.6900336803574563,7.760422635737509,7.326891787907668,6.106660184422177
15,1,5.087055030305448,3.2477838051240306,5.426987443954009,6.68384749280962,3.692931429650153,3.703924561980914
16,4,5.024111387734918,5.436325361691497,7.8492321108347465,4.80849644697891,5.139286420651974,7.028314113895023
17,2,5.0943046339281155,5.715527975101253,11.785650390450588,6.749675806201918,8.242706240553472,5.549823446242323
18,1,7.277354433901803,2.9233435707867432,4.538291247608449,6.34733238019872,7.798585826606267,3.6559198684645735
19,1,2.1501906691588646,5.160727589985932,9.86096764182556,5.8506114752854534,4.332701221250357,8.719612558165135
20,1,3.645081213266068,7.3759158883586,3.037614462588836,6.738384677782547,2.6767584108883407,6.455766495536544
