T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,6,7.171896279700785,6.829117837732999,7.777148190253466,6.155060846869899,3.0063487911903715,6.366288100719665,7.915598563635199,4.562736756039136
2,5,7.160412923017896,4.5318576571395965,2.718779713031653,3.0359899761398546,3.1316347349916214,5.280542263251186,5.641714044492867,7.379385933398008
3,2,5.194502086194807,2.0062622168717796,4.558588828344585,6.9693867406970655,9.293628317859008,7.3219865766917955,5.684836040546866,5.357481122344473
4,5,8.37072360304853,10.17194578881394,4.911820648142495,5.119747736738122,2.833759026227636,3.1831048606624854,4.428373690545076,6.448685037961422
5,5,5.236801116550019,7.376113502771801,4.737591323454725,8.150120044218024,6.870272831864957,6.4603739762162515,5.169307949963978,6.298630706441235
6,2,6.811949807005112,5.211435614842571,5.545912377985563,5.689235861251056,2.051632154413502,7.872608557659271,7.516038179390243,4.035295592801565
7,5,8.844917637353682,4.624621319820161,6.559616025011788,6.0897448888573456,7.312300738681035,5.6493846261359115,7.078153399308771,5.290911251315275
8,3,7.206851625322411,8.226457471029917,4.4831097632459445,2.9426362927983347,4.821994487867105,4.199503268070279,4.827600081085551,3.868944325896084
9,3,8.255878585704561,3.0785376176162225,3.3392519012038284,7.758822170901877,7.380282144187635,4.006476683783041,4.745985256157173,3.5255481722288433
10,0,4.454494173569654,3.266307197517368,4.908746770521871,7.058527519298654,4.284840709471965,4.102507132336436,5.486194492622438,4.125300178984629
11,3,4.278057616625245,3.154748929926669,5.761161660783598,6.181037340390511,7.369673804149725,2.623779361742644,2.4845670440864973,3.3643638679389465
12,5,9.11641351400204,3.419305581907156,6.007386280072512,4.1886103445264,6.065569166796097,6.39570882425656,6.57624441521227,7.933027659125267
13,1,5.719753805393143,5.009550861077793,4.0249349078540995,2.0578554136759264,3.3086857555962257,6.400507786791727,4.448307721216337,3.5693385674067493
14,4,3.0702505147069425,8.22487842942963,3.1857106967244144,7.962529362890629,8.489705471334256,6.1792583336649,6.959123106158954,5.430400611551275
15,3,4.232197209098819,5.317551039217614,8.653257823957706,4.7766813870755,3.5512287997604775,4.473196067882572,6.517058061641434,4.518745068884226
16,2,2.189808672081814,9.547565986112826,8.829181130088255,6.384137430585121,9.655663146436218,4.23719333455041,6.235939240737644,7.1060697595182605
17,0,4.55156113097982,4.597165306889346,2.3438270997006563,4.331570878499075,4.3405227919678975,5.200946643768404,5.5102808051870245,6.538020411044686
18,4,6.494801832697854,6.326185963596869,2.961211143833876,6.187136484864399,6.8865503431295485,3.946168296935544,5.261870728786468,6.210944108882463
19,2,6.053368766223149,3.0051399602341853,7.109294979680853,7.860195761918875,6.379157745020304,6.7860224940879394,7.403038599900073,5.003114128199453
20,3,7.059180629091879,4.174816306968052,3.357037525447068,5.6614983886393295,2.4348979193396807,7.479494196853535,2.054631576389062,7.365332470860032
