T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,4,6.8873739270931,3.3443953792413477,9.95801264145155,5.099651710068353,4.381440793933443,7.1585143854805935,4.756318787646744,3.1650532334903922,6.539167981096931,6.587672904785385
2,7,3.391216342583544,8.534614244799936,2.9441777235105078,7.21820827935584,4.05369989924611,6.654480207642269,3.9962011489578075,5.231626983080615,3.360167246802771,3.6554817760586014
3,14,5.753131856969923,5.387353779321241,5.492662994204698,3.1083933108838284,3.676737507063639,7.828292781177603,7.443497185761075,6.005439182733692,6.022832461964344,5.779272924701193
4,11,5.41474653452153,7.220248849767819,7.1881720676282965,10.622872615142303,5.254698476112701,2.497535677899156,5.009790616184647,4.094977126158737,4.413117713033788,4.9485114338523815
5,2,8.104297367549007,6.231596355091093,3.314960460757369,6.647596757255818,2.1260158676349583,4.0698954806575,5.8454786179203415,4.5805230698992645,6.1806662222709114,2.1372530211545544
6,8,6.540700875870855,3.04749475089674,3.3574602540983496,7.265202557511216,3.3899814889548185,5.3372023666487625,5.685768907466097,4.759927745902026,6.117238991352288,7.709524559790819
7,6,4.178181961220963,2.393761022553856,3.0175837864266515,4.553565153294597,7.034716760314328,6.790709775003412,6.300150182851354,7.294933022818899,3.42739105228462,4.0471387570894795
8,6,3.0954515011559867,4.14569468039333,6.641094567432406,5.841280964752174,6.96132143353644,2.7215119162398778,9.869562867178695,8.511494710121603,7.826056477648798,5.807780410350173
9,5,4.0383703558571575,3.5881070725499185,8.577147000183501,7.523963121339963,5.183446926441261,3.3153159217748915,3.168587393040511,2.0815327891488824,5.271017791119416,7.230800101094491
10,1,5.563120917664214,5.153508746223397,7.533571195417129,7.823440686816216,2.24348835520315,3.0722514639642418,5.839597187208107,13.75799980353743,4.941246841269222,7.487730224093482
11,1,7.616284222771862,3.2207579858286737,3.6343828602462613,9.738174998281101,6.648653159864298,6.076741557275393,7.807430046461743,2.841950622563295,5.548533015238571,8.568198666318748
12,5,5.580000668441066,4.93459062127335,6.009089406997625,3.2123256848782233,2.1424573717670317,7.966859039893356,4.3334639795291885,2.249638100306873,6.005894769865515,4.882060062845028
13,3,6.127688740997535,5.930463598204189,6.392369730604004,9.371384476412878,4.079512982768371,7.207777958589729,4.692680114423912,4.15883431900392,5.28468732962146,7.434534977015199
14,0,7.317295018163177,4.331948379523562,7.328678166018629,6.151165328397023,4.764623956615005,6.6770782992837905,6.172280488186532,4.175941808170415,4.484588866210517,2.251219760634751
15,0,5.666124158128791,5.318582299212467,4.031844230267939,2.6709434511910253,7.837965519431527,3.209165494427965,3.405134403369509,6.900301605263506,3.1592901190391407,3.2489926710410155
16,0,4.612662506980996,4.203865695836665,4.912939665580364,2.1454785183111182,3.1968905676104513,6.009245695817513,4.060904445982884,4.724272018776418,2.5900830935165153,4.126208869632945
17,1,3.017498192814565,5.661958854058897,6.446184877000714,3.1450415849711937,5.342285541192988,8.474207160906992,2.268951232114399,8.236981571190983,2.1892273708407837,2.7059058434761196
18,0,4.616477233050565,5.872598773898848,7.499135263178457,6.1504756511648235,5.4006205196642245,7.157847846662699,4.869745951594034,6.0009786556248805,2.0969642828035453,8.673740578738272
19,1,7.532442272070945,3.1705281014376707,6.822287058502601,7.036840309560283,7.423115492571583,4.3727958415867985,6.82145636752653,4.6597998941628385,4.291962546430031,7.750979775120792
20,0,3.8587745466386933,4.271836403072362,3.0365194351659346,5.788294152457075,7.3681285330793305,6.620955271974595,6.711978476699188,2.294605045388302,9.545716034198167,2.159691932586547
