T,FC,x1,x2,x3
1,2,5.017637057730861,4.318988635705318,6.542037978656773
2,2,3.4799339170668047,8.500116650870801,5.239105258333279
3,6,6.129794284619043,3.7950399381968016,3.0859295188144777
4,7,6.349055687826233,2.126961167171787,7.93434264003112
5,7,5.1602841778744875,6.728664641225543,8.186282889294016
6,9,5.105080077368402,4.199127430136931,8.75147331320013
7,3,5.022497258917905,5.090709065240616,4.810718473748608
8,5,3.084807491548725,3.1727483989422756,5.160992997853882
9,6,4.385862444420902,4.562136188825072,2.663781563672057
10,4,3.064223801684903,4.0651653327584985,5.000697721421085
11,3,6.659716235600254,8.195174612883507,7.410752896172424
12,3,5.0964390890420965,5.883625311507719,8.307183769790432
13,6,4.455721139795339,2.1206159945479297,7.436018749316353
14,2,5.136815060920936,2.667342436697965,3.260831417411901
15,3,5.318277391618134,7.041960957136414,8.124040703851541
16,3,3.0148259895160012,7.413054289585234,5.985371776664406
17,1,6.504106975569812,4.105844600241492,7.417343297230154
18,5,9.012986786635846,3.9946313251376084,9.020849925365589
19,3,6.114554841840404,6.480559660804624,6.621476964172812
20,2,2.045980834471997,7.268695767607684,7.027127265312156
