T,FC,x1
1,0,3.1610464804595217
2,0,5.321525885917101
3,1,4.256825176929304
4,3,7.639319417656842
5,3,3.062792954462086
6,1,4.48603593324877
7,3,4.3604973890165
8,2,6.507331070242425
9,0,7.4023580269224425
10,5,11.60042322316318
11,1,7.052616210287339
12,0,6.393802644346975
13,4,4.964148122911301
14,3,5.0421641424939985
15,2,6.763209124311958
16,0,4.3721630545954575
17,3,5.113688102643516
18,1,6.474437484432438
19,0,5.342798927544976
20,3,4.89394795357912
