T,FC,x1,x2,x3,x4
1,1,3.114612696162308,5.947967339325789,5.822722464587278,3.1265847950379086
2,0,7.583194156199244,8.271223152997091,2.4307294581032646,3.1303272485700346
3,1,6.946816532517455,3.4695373320363103,2.4491288964305022,6.205636396056623
4,0,7.018754923775167,3.1101937393579218,5.212657325426172,7.146175995813564
5,2,3.248492807193808,8.16953543573688,3.1606375062398717,6.674936281493128
6,5,8.294407079684833,3.1423744106250027,5.43308821118372,5.190474115587865
7,2,6.673408148829375,3.2743185591768365,3.045573086036257,4.608896465895126
8,5,3.2763572599525754,5.217068755518102,5.664542437242631,7.26344283401279
9,6,4.056532052697818,3.658762186016418,7.720661109862287,8.133465289761752
10,3,6.3391970447170385,4.391600964499391,3.546976512918846,2.192544185811582
11,2,7.172450597522,6.044251308206375,7.594416417121566,7.156267209258278
12,0,6.2742147174460134,2.3703947411957067,2.5808930978601206,5.045242422908885
13,1,5.293216435949786,3.2406803253326917,6.212688617169177,5.3054457345891715
14,0,5.468211467294571,6.003892506283787,7.812851194426943,6.4440447714650775
15,5,2.687260787608472,8.121627304009376,5.012006418934582,6.907834656564579
16,2,8.817081371031358,4.117545955377565,6.9505994150801715,4.382309753106084
17,0,4.3213130524817664,5.0738973232609625,6.056036177709001,7.741661923870494
18,3,4.167176289927461,2.6963925440850645,6.023657030638969,4.29550443626729
19,1,3.1911256371288794,3.617952783551024,6.42200327851779,4.767413133254221
20,6,7.239224285827545,5.649695916553447,7.614751865804842,3.068206678603013
