T,FC,x1
1,2,3.3437076392538425
2,1,6.418852077808145
3,0,7.456928027230905
4,0,7.389917600663945
5,0,7.089810012899487
6,1,3.3473136677910817
7,1,3.108330078483011
8,0,4.493994923415363
9,2,3.306751376924508
10,0,4.049030066288397
11,1,2.06764233663179
12,1,5.709903829114639
13,2,6.076007351071902
14,0,3.059344388941259
15,1,3.9316326993065243
16,1,8.319117471136696
17,1,2.8876412380540932
18,3,3.8969179717023916
19,1,5.034001971555858
20,0,6.088223777189051
